PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;0.9549647659860248;1;False;false_positive;0.9549647659860248;0.45496476598602476
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;0.9256453662973765;1;False;false_positive;0.9256453662973765;0.4256453662973765
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;0.9137551808451173;1;False;false_positive;0.9137551808451173;0.4137551808451173
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;0.09280305968334815;0;False;false_negative;0.9071969403166519;0.4071969403166519
18;1;2;male;;13.0;0;0;S;Williams, Mr. Charles Eugene;;0.09372368513704933;0;False;false_negative;0.9062763148629507;0.4062763148629507
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;0.09733213909366478;0;False;false_negative;0.9026678609063352;0.4026678609063352
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;0.09887491024313626;0;False;false_negative;0.9011250897568638;0.40112508975686373
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;0.10218666656437657;0;False;false_negative;0.8978133334356234;0.3978133334356234
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;0.10464257273441681;0;False;false_negative;0.8953574272655832;0.3953574272655832
358;0;2;female;38.0;13.0;0;0;S;Funk, Miss. Annie Clemmer;;0.8946319215104163;1;False;false_positive;0.8946319215104163;0.39463192151041626
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;0.10613149611353298;0;False;false_negative;0.893868503886467;0.393868503886467
855;0;2;female;44.0;26.0;1;0;S;Carter, Mrs. Ernest Courtenay (Lilian Hughes);;0.8929560552682415;1;False;false_positive;0.8929560552682415;0.3929560552682415
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;0.10854568747237292;0;False;false_negative;0.8914543125276271;0.3914543125276271
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;0.10859776728242197;0;False;false_negative;0.891402232717578;0.391402232717578
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;0.10859776728242197;0;False;false_negative;0.891402232717578;0.391402232717578
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;0.11060280931485159;0;False;false_negative;0.8893971906851484;0.38939719068514844
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;0.1145038248345755;0;False;false_negative;0.8854961751654244;0.3854961751654245
339;1;3;male;45.0;8.05;0;0;S;Dahl, Mr. Karl Edwart;;0.11532656399489302;0;False;false_negative;0.884673436005107;0.38467343600510695
200;0;2;female;24.0;13.0;0;0;S;"Yrois, Miss. Henriette (""Mrs Harbeck"")";;0.8843868130489042;1;False;false_positive;0.8843868130489042;0.3843868130489042
272;1;3;male;25.0;0.0;0;0;S;Tornquist, Mr. William Henry;;0.12232402636865858;0;False;false_negative;0.8776759736313414;0.3776759736313414
605;1;1;male;35.0;26.55;0;0;C;"Homer, Mr. Harry (""Mr E Haven"")";;0.12991042214360335;0;False;false_negative;0.8700895778563966;0.3700895778563966
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;0.8686399130817286;1;False;false_positive;0.8686399130817286;0.3686399130817286
69;1;3;female;17.0;7.925;4;2;S;Andersson, Miss. Erna Alexandra;;0.13668742995311337;0;False;false_negative;0.8633125700468867;0.36331257004688666
128;1;3;male;24.0;7.1417;0;0;S;Madsen, Mr. Fridtjof Arne;;0.13838523093906824;0;False;false_negative;0.8616147690609317;0.36161476906093176
570;1;3;male;32.0;7.8542;0;0;S;Jonsson, Mr. Carl;;0.1468244882580832;0;False;false_negative;0.8531755117419169;0.3531755117419168
392;1;3;male;21.0;7.7958;0;0;S;Jansson, Mr. Carl Olof;;0.14736204481754103;0;False;false_negative;0.852637955182459;0.352637955182459
