PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;0.35636410287429793;0;False;false_negative;0.6436358971257021;0.14363589712570207
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;0.6424778790210939;1;False;false_positive;0.6424778790210939;0.14247787902109388
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;0.36281942367848324;0;False;false_negative;0.6371805763215168;0.13718057632151676
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;0.36409698133769525;0;False;false_negative;0.6359030186623047;0.13590301866230475
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;0.36409698133769525;0;False;false_negative;0.6359030186623047;0.13590301866230475
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;0.36409698133769525;0;False;false_negative;0.6359030186623047;0.13590301866230475
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;0.36409698133769525;0;False;false_negative;0.6359030186623047;0.13590301866230475
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;0.36409698133769525;0;False;false_negative;0.6359030186623047;0.13590301866230475
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;0.368497958223159;0;False;false_negative;0.631502041776841;0.131502041776841
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;0.6300308786951828;1;False;false_positive;0.6300308786951828;0.13003087869518282
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;0.6269263578344695;1;False;false_positive;0.6269263578344695;0.12692635783446948
272;1;3;male;25.0;0.0;0;0;S;Tornquist, Mr. William Henry;;0.3765212911697724;0;False;false_negative;0.6234787088302276;0.1234787088302276
605;1;1;male;35.0;26.55;0;0;C;"Homer, Mr. Harry (""Mr E Haven"")";;0.3768229942870154;0;False;false_negative;0.6231770057129846;0.12317700571298462
339;1;3;male;45.0;8.05;0;0;S;Dahl, Mr. Karl Edwart;;0.3770760751553029;0;False;false_negative;0.6229239248446972;0.12292392484469711
18;1;2;male;;13.0;0;0;S;Williams, Mr. Charles Eugene;;0.3799595056517868;0;False;false_negative;0.6200404943482132;0.12004049434821318
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;0.3862433671174258;0;False;false_negative;0.6137566328825742;0.1137566328825742
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;0.3900119865230104;0;False;false_negative;0.6099880134769896;0.10998801347698961
75;1;3;male;32.0;56.4958;0;0;S;Bing, Mr. Lee;;0.39377003769424035;0;False;false_negative;0.6062299623057597;0.10622996230575965
644;1;3;male;;56.4958;0;0;S;Foo, Mr. Choong;;0.39377003769424035;0;False;false_negative;0.6062299623057597;0.10622996230575965
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;0.3969470436193412;0;False;false_negative;0.6030529563806588;0.10305295638065881
448;1;1;male;34.0;26.55;0;0;S;Seward, Mr. Frederic Kimber;;0.39962644765325606;0;False;false_negative;0.6003735523467439;0.10037355234674394
693;1;3;male;;56.4958;0;0;S;Lam, Mr. Ali;;0.401192423829285;0;False;false_negative;0.598807576170715;0.098807576170715
