PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;0.9415748109596097;1;False;false_positive;0.9415748109596097;0.4415748109596097
456;1;3;male;29.0;7.8958;0;0;C;Jalsevac, Mr. Ivan;;0.06628134188991498;0;False;false_negative;0.933718658110085;0.43371865811008503
554;1;3;male;22.0;7.225;0;0;C;"Leeni, Mr. Fahim (""Philip Zenni"")";;0.08517768216092;0;False;false_negative;0.91482231783908;0.41482231783907997
674;1;2;male;31.0;13.0;0;0;S;Wilhelms, Mr. Charles;;0.09187773823220345;0;False;false_negative;0.9081222617677965;0.40812226176779653
430;1;3;male;32.0;8.05;0;0;S;Pickard, Mr. Berk (Berk Trembisky);E10;0.09455974954467282;0;False;false_negative;0.9054402504553272;0.40544025045532717
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;0.09867374592254628;0;False;false_negative;0.9013262540774537;0.4013262540774537
401;1;3;male;39.0;7.925;0;0;S;Niskanen, Mr. Juha;;0.10676090666487696;0;False;false_negative;0.8932390933351231;0.393239093335123
415;1;3;male;44.0;7.925;0;0;S;Sundman, Mr. Johan Julian;;0.11002661044130022;0;False;false_negative;0.8899733895586998;0.38997338955869976
822;1;3;male;27.0;8.6625;0;0;S;Lulic, Mr. Nikola;;0.11317460450866056;0;False;false_negative;0.8868253954913394;0.38682539549133943
147;1;3;male;27.0;7.7958;0;0;S;"Andersson, Mr. August Edvard (""Wennerstrom"")";;0.11348133014490008;0;False;false_negative;0.8865186698551;0.3865186698550999
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;0.7609716073505871;1;False;false_positive;0.7609716073505871;0.2609716073505871
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;0.2709822366929383;0;False;false_negative;0.7290177633070617;0.2290177633070617
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;0.7266757258842171;1;False;false_positive;0.7266757258842171;0.22667572588421714
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;0.7259511521493773;1;False;false_positive;0.7259511521493773;0.22595115214937733
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;0.27955638038360864;0;False;false_negative;0.7204436196163914;0.22044361961639136
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;0.2814691289592131;0;False;false_negative;0.718530871040787;0.2185308710407869
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;0.2814691289592131;0;False;false_negative;0.718530871040787;0.2185308710407869
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;0.2814691289592131;0;False;false_negative;0.718530871040787;0.2185308710407869
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;0.2814691289592131;0;False;false_negative;0.718530871040787;0.2185308710407869
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;0.2814691289592131;0;False;false_negative;0.718530871040787;0.2185308710407869
502;0;3;female;21.0;7.75;0;0;Q;Canavan, Miss. Mary;;0.7175549323753687;1;False;false_positive;0.7175549323753687;0.21755493237536871
594;0;3;female;;7.75;0;2;Q;Bourke, Miss. Mary;;0.7154343365172768;1;False;false_positive;0.7154343365172768;0.21543433651727684
