PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;0.9307751564838458;1;True;true_positive;0.9307751564838458;0.4307751564838458
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;0.1275399566025522;0;False;false_negative;0.8724600433974478;0.37246004339744776
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;0.1352367755960319;0;True;true_negative;0.8647632244039681;0.36476322440396813
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;0.8961721181306305;1;True;true_positive;0.8961721181306305;0.39617211813063047
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;0.8323164492756598;1;True;true_positive;0.8323164492756598;0.33231644927565984
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;0.14031558401199573;0;False;false_negative;0.8596844159880043;0.35968441598800427
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;0.5066182016703777;1;True;true_positive;0.5066182016703777;0.0066182016703777435
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;0.10054152671004586;0;True;true_negative;0.8994584732899541;0.39945847328995415
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;0.15600226033940448;0;True;true_negative;0.8439977396605955;0.34399773966059555
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;0.5066182016703777;1;True;true_positive;0.5066182016703777;0.0066182016703777435
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;0.3123310243996473;0;True;true_negative;0.6876689756003527;0.18766897560035273
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;0.25090851538398573;0;True;true_negative;0.7490914846160143;0.24909148461601427
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;0.4595302307205746;0;False;false_negative;0.5404697692794254;0.040469769279425416
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;0.9188052225242661;1;True;true_positive;0.9188052225242661;0.4188052225242661
