PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9829332873596152;1;True;true_positive;0.9829332873596152;0.48293328735961516
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.035629827376307696;0;False;false_negative;0.9643701726236923;0.4643701726236923
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.22063642548491852;0;True;true_negative;0.7793635745150815;0.2793635745150815
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.9778511365585895;1;True;true_positive;0.9778511365585895;0.47785113655858946
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.7473584891225695;1;True;true_positive;0.7473584891225695;0.24735848912256952
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.18246830442634182;0;False;false_negative;0.8175316955736582;0.3175316955736582
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.5901661124227187;1;True;true_positive;0.5901661124227187;0.09016611242271866
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.19163479946588954;0;True;true_negative;0.8083652005341104;0.30836520053411043
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.09935684869011564;0;True;true_negative;0.9006431513098844;0.40064315130988437
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.4590531827825044;0;False;false_negative;0.5409468172174956;0.0409468172174956
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.13316579410887452;0;True;true_negative;0.8668342058911255;0.3668342058911255
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.08956286556845483;0;True;true_negative;0.9104371344315452;0.41043713443154517
