PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.035629827376307696;0;False;false_negative;0.9643701726236923;0.4643701726236923
26;1;3;female;38.0;31.3875;1;5;S;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);;347077;0.04408550570010649;0;False;false_negative;0.9559144942998935;0.4559144942998935
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.05287032912704786;0;False;false_negative;0.9471296708729522;0.44712967087295213
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.05784640076612845;0;False;false_negative;0.9421535992338715;0.44215359923387154
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;SOTON/OQ 392089;0.06806111112757644;0;False;false_negative;0.9319388888724236;0.43193888887242354
339;1;3;male;45.0;8.05;0;0;S;Dahl, Mr. Karl Edwart;;7598;0.07581462836846335;0;False;false_negative;0.9241853716315367;0.42418537163153663
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;347077;0.07582346635036637;0;False;false_negative;0.9241765336496336;0.42417653364963365
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.9157423629064215;1;False;false_positive;0.9157423629064215;0.4157423629064215
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;312991;0.09372284489727732;0;False;false_negative;0.9062771551027227;0.40627715510272266
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;11668;0.9038200293621235;1;False;false_positive;0.9038200293621235;0.40382002936212347
18;1;2;male;;13.0;0;0;S;Williams, Mr. Charles Eugene;;244373;0.09619305006779637;0;False;false_negative;0.9038069499322037;0.4038069499322036
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.10927138123742659;0;False;false_negative;0.8907286187625734;0.3907286187625734
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;65306;0.11176371926765465;0;False;false_negative;0.8882362807323454;0.38823628073234534
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.11176371926765465;0;False;false_negative;0.8882362807323454;0.38823628073234534
272;1;3;male;25.0;0.0;0;0;S;Tornquist, Mr. William Henry;;LINE;0.1128827128354044;0;False;false_negative;0.8871172871645956;0.3871172871645956
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;PC 17595;0.8860290599102545;1;False;false_positive;0.8860290599102545;0.3860290599102545
855;0;2;female;44.0;26.0;1;0;S;Carter, Mrs. Ernest Courtenay (Lilian Hughes);;244252;0.8783600234243382;1;False;false_positive;0.8783600234243382;0.37836002342433817
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;345774;0.12310198329163648;0;False;false_negative;0.8768980167083635;0.37689801670836354
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;STON/O 2. 3101286;0.12610120418705634;0;False;false_negative;0.8738987958129436;0.37389879581294366
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;347089;0.1364330513962285;0;False;false_negative;0.8635669486037715;0.3635669486037715
200;0;2;female;24.0;13.0;0;0;S;"Yrois, Miss. Henriette (""Mrs Harbeck"")";;248747;0.8628955557334094;1;False;false_positive;0.8628955557334094;0.36289555573340937
