PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;0.9798131774271484;1;True;true_positive;0.9798131774271484;0.47981317742714835
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;0.3791852877135547;0;False;false_negative;0.6208147122864454;0.1208147122864453
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;0.3985759562152134;0;True;true_negative;0.6014240437847866;0.10142404378478659
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;0.6061888668601575;1;True;true_positive;0.6061888668601575;0.1061888668601575
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;0.5613831840765365;1;True;true_positive;0.5613831840765365;0.061383184076536534
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;0.2630606887316786;0;False;false_negative;0.7369393112683214;0.2369393112683214
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;0.5280137803297655;1;True;true_positive;0.5280137803297655;0.028013780329765536
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;0.39574133948228807;0;True;true_negative;0.6042586605177119;0.10425866051771193
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;0.429865506182941;0;True;true_negative;0.5701344938170589;0.070134493817059
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;0.2909909998821975;0;False;false_negative;0.7090090001178024;0.2090090001178025
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;0.1331350322626328;0;True;true_negative;0.8668649677373672;0.3668649677373672
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;0.1155910322170185;0;True;true_negative;0.8844089677829815;0.3844089677829815
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;0.5063118773332127;1;True;true_positive;0.5063118773332127;0.006311877333212701
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;0.6577836676060198;1;True;true_positive;0.6577836676060198;0.1577836676060198
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;0.6794128090138232;1;True;true_positive;0.6794128090138232;0.17941280901382317
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;0.15084859700602637;0;True;true_negative;0.8491514029939736;0.3491514029939736
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;0.5569438786101817;1;True;true_positive;0.5569438786101817;0.056943878610181686
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;0.18904055123634703;0;True;true_negative;0.810959448763653;0.310959448763653
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;0.3663038495328313;0;False;false_negative;0.6336961504671688;0.1336961504671687
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;0.9057270779490558;1;True;true_positive;0.9057270779490558;0.4057270779490558
326;1;1;female;36.0;135.6333;0;0;C;Young, Miss. Marie Grice;C32;0.6890773912735688;1;True;true_positive;0.6890773912735688;0.18907739127356882
514;1;1;female;54.0;59.4;1;0;C;Rothschild, Mrs. Martin (Elizabeth L. Barrett);;0.8814707235155872;1;True;true_positive;0.8814707235155872;0.3814707235155872
801;0;2;male;34.0;13.0;0;0;S;Ponesell, Mr. Martin;;0.3990342461768384;0;True;true_negative;0.6009657538231616;0.10096575382316159
474;1;2;female;23.0;13.7917;0;0;C;Jerwan, Mrs. Amin S (Marie Marthe Thuillard);D;0.8941878416059212;1;True;true_positive;0.8941878416059212;0.39418784160592124
423;0;3;male;29.0;7.875;0;0;S;Zimmerman, Mr. Leo;;0.13857879884638344;0;True;true_negative;0.8614212011536165;0.36142120115361653
87;0;3;male;16.0;34.375;1;3;S;Ford, Mr. William Neal;;0.30987843540595317;0;True;true_negative;0.6901215645940468;0.19012156459404683
629;0;3;male;26.0;7.8958;0;0;S;Bostandyeff, Mr. Guentcho;;0.39574133948228807;0;True;true_negative;0.6042586605177119;0.10425866051771193
43;0;3;male;;7.8958;0;0;C;Kraeff, Mr. Theodor;;0.429865506182941;0;True;true_negative;0.5701344938170589;0.070134493817059
743;1;1;female;21.0;262.375;2;2;C;"Ryerson, Miss. Susan Parker ""Suzette""";B57 B59 B63 B66;0.9004496789418784;1;True;true_positive;0.9004496789418784;0.40044967894187844
837;0;3;male;21.0;8.6625;0;0;S;Pasic, Mr. Jakob;;0.38490544781479114;0;True;true_negative;0.6150945521852089;0.11509455218520886
611;0;3;female;39.0;31.275;1;5;S;Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren);;0.419047966913509;0;True;true_negative;0.580952033086491;0.08095203308649102
174;0;3;male;21.0;7.925;0;0;S;Sivola, Mr. Antti Wilhelm;;0.429865506182941;0;True;true_negative;0.5701344938170589;0.070134493817059
125;0;1;male;54.0;77.2875;0;1;S;White, Mr. Percival Wayland;D26;0.2231308292740378;0;True;true_negative;0.7768691707259622;0.2768691707259622
747;0;3;male;16.0;20.25;1;1;S;Abbott, Mr. Rossmore Edward;;0.07406039635371396;0;True;true_negative;0.925939603646286;0.425939603646286
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;0.9327356933286743;1;False;false_positive;0.9327356933286743;0.43273569332867434
410;0;3;female;;25.4667;3;1;S;Lefebre, Miss. Ida;;0.40744978091273926;0;True;true_negative;0.5925502190872607;0.09255021908726074
244;0;3;male;22.0;7.125;0;0;S;Maenpaa, Mr. Matti Alexanteri;;0.20005041210030594;0;True;true_negative;0.7999495878996941;0.29994958789969406
560;1;3;female;36.0;17.4;1;0;S;de Messemaeker, Mrs. Guillaume Joseph (Emma);;0.5238009217948632;1;True;true_positive;0.5238009217948632;0.02380092179486315
293;0;2;male;36.0;12.875;0;0;C;Levy, Mr. Rene Jacques;D;0.4547352561169984;0;True;true_negative;0.5452647438830016;0.04526474388300161
446;1;1;male;4.0;81.8583;0;2;S;Dodge, Master. Washington;A34;0.8598995905399023;1;True;true_positive;0.8598995905399023;0.3598995905399023
413;1;1;female;33.0;90.0;1;0;Q;Minahan, Miss. Daisy E;C78;0.9744966185436307;1;True;true_positive;0.9744966185436307;0.4744966185436307
615;0;3;male;35.0;8.05;0;0;S;Brocklebank, Mr. William Alfred;;0.12243283164238565;0;True;true_negative;0.8775671683576144;0.37756716835761434
651;0;3;male;;7.8958;0;0;S;Mitkoff, Mr. Mito;;0.23934996816306572;0;True;true_negative;0.7606500318369342;0.26065003183693425
46;0;3;male;;8.05;0;0;S;Rogers, Mr. William John;;0.11791778920617502;0;True;true_negative;0.882082210793825;0.382082210793825
349;1;3;male;3.0;15.9;1;1;S;"Coutts, Master. William Loch ""William""";;0.8474756117081079;1;True;true_positive;0.8474756117081079;0.3474756117081079
107;1;3;female;21.0;7.65;0;0;S;Salkjelsvik, Miss. Anna Kristine;;0.6657003856283925;1;True;true_positive;0.6657003856283925;0.1657003856283925
341;1;2;male;2.0;26.0;1;1;S;Navratil, Master. Edmond Roger;F2;0.6942337785080616;1;True;true_positive;0.6942337785080616;0.19423377850806156
634;0;1;male;;0.0;0;0;S;Parr, Mr. William Henry Marsh;;0.39092484925256826;0;True;true_negative;0.6090751507474317;0.10907515074743174
425;0;3;male;18.0;20.2125;1;1;S;Rosblom, Mr. Viktor Richard;;0.2219783317312858;0;True;true_negative;0.7780216682687142;0.2780216682687142
817;0;3;female;23.0;7.925;0;0;S;Heininen, Miss. Wendla Maria;;0.6124012004781195;1;False;false_positive;0.6124012004781195;0.11240120047811952
357;1;1;female;22.0;55.0;0;1;S;Bowerman, Miss. Elsie Edith;E33;0.6794128090138232;1;True;true_positive;0.6794128090138232;0.17941280901382317
417;1;2;female;34.0;32.5;1;1;S;Drew, Mrs. James Vivian (Lulu Thorne Christian);;0.9164567970318175;1;True;true_positive;0.9164567970318175;0.4164567970318175
150;0;2;male;42.0;13.0;0;0;S;Byles, Rev. Thomas Roussel Davids;;0.19945885854534126;0;True;true_negative;0.8005411414546587;0.3005411414546587
599;0;3;male;;7.225;0;0;C;Boulos, Mr. Hanna;;0.429865506182941;0;True;true_negative;0.5701344938170589;0.070134493817059
11;1;3;female;4.0;16.7;1;1;S;Sandstrom, Miss. Marguerite Rut;G6;0.5361408322926328;1;True;true_positive;0.5361408322926328;0.03614083229263276
343;0;2;male;28.0;13.0;0;0;S;Collander, Mr. Erik Gustaf;;0.11333934007981891;0;True;true_negative;0.8866606599201811;0.38666065992018106
60;0;3;male;11.0;46.9;5;2;S;Goodwin, Master. William Frederick;;0.40508923695038934;0;True;true_negative;0.5949107630496107;0.09491076304961066
269;1;1;female;58.0;153.4625;0;1;S;Graham, Mrs. William Thompson (Edith Junkins);C125;0.6569865574952031;1;True;true_positive;0.6569865574952031;0.15698655749520307
551;1;1;male;17.0;110.8833;0;2;C;Thayer, Mr. John Borland Jr;C70;0.49451266994388815;0;False;false_negative;0.5054873300561118;0.00548733005611185
54;1;2;female;29.0;26.0;1;0;S;Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);;0.9257451815745383;1;True;true_positive;0.9257451815745383;0.42574518157453833
401;1;3;male;39.0;7.925;0;0;S;Niskanen, Mr. Juha;;0.3910794545830347;0;False;false_negative;0.6089205454169653;0.10892054541696528
610;1;1;female;40.0;153.4625;0;0;S;Shutes, Miss. Elizabeth W;C125;0.8378717957496628;1;True;true_positive;0.8378717957496628;0.33787179574966275
540;1;1;female;22.0;49.5;0;2;C;Frolicher, Miss. Hedwig Margaritha;B39;0.6794128090138232;1;True;true_positive;0.6794128090138232;0.17941280901382317
524;1;1;female;44.0;57.9792;0;1;C;Hippach, Mrs. Louis Albert (Ida Sophia Fischer);B18;0.6279245204816348;1;True;true_positive;0.6279245204816348;0.12792452048163483
851;0;3;male;4.0;31.275;4;2;S;Andersson, Master. Sigvard Harald Elias;;0.3791852877135547;0;True;true_negative;0.6208147122864454;0.1208147122864453
402;0;3;male;26.0;8.05;0;0;S;Adams, Mr. John;;0.429865506182941;0;True;true_negative;0.5701344938170589;0.070134493817059
767;0;1;male;;39.6;0;0;C;Brewe, Dr. Arthur Jackson;;0.29462858280679993;0;True;true_negative;0.7053714171932001;0.20537141719320007
533;0;3;male;17.0;7.2292;1;1;C;Elias, Mr. Joseph Jr;;0.24662272013280695;0;True;true_negative;0.753377279867193;0.25337727986719305
270;1;1;female;35.0;135.6333;0;0;S;Bissette, Miss. Amelia;C99;0.6260353739851441;1;True;true_positive;0.6260353739851441;0.12603537398514408
166;1;3;male;9.0;20.525;0;2;S;"Goldsmith, Master. Frank John William ""Frankie""";;0.6446105583791915;1;True;true_positive;0.6446105583791915;0.14461055837919146
320;1;1;female;40.0;134.5;1;1;C;Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone);E34;0.9733270927962071;1;True;true_positive;0.9733270927962071;0.4733270927962071
520;0;3;male;32.0;7.8958;0;0;S;Pavlovic, Mr. Stefo;;0.12710426165941335;0;True;true_negative;0.8728957383405866;0.37289573834058665
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;0.10015119530629776;0;False;false_negative;0.8998488046937022;0.3998488046937022
888;1;1;female;19.0;30.0;0;0;S;Graham, Miss. Margaret Edith;B42;0.6260353739851441;1;True;true_positive;0.6260353739851441;0.12603537398514408
709;1;1;female;22.0;151.55;0;0;S;Cleaver, Miss. Alice;;0.9301800234884017;1;True;true_positive;0.9301800234884017;0.4301800234884017
396;0;3;male;22.0;7.7958;0;0;S;Johansson, Mr. Erik;;0.13213914607613053;0;True;true_negative;0.8678608539238695;0.36786085392386947
715;0;2;male;52.0;13.0;0;0;S;Greenberg, Mr. Samuel;;0.4070301402491223;0;True;true_negative;0.5929698597508777;0.09296985975087768
771;0;3;male;24.0;9.5;0;0;S;Lievens, Mr. Rene Aime;;0.38490544781479114;0;True;true_negative;0.6150945521852089;0.11509455218520886
731;1;1;female;29.0;211.3375;0;0;S;Allen, Miss. Elisabeth Walton;B5;0.9702788752514143;1;True;true_positive;0.9702788752514143;0.4702788752514143
358;0;2;female;38.0;13.0;0;0;S;Funk, Miss. Annie Clemmer;;0.7711668200205223;1;False;false_positive;0.7711668200205223;0.2711668200205223
655;0;3;female;18.0;6.75;0;0;Q;"Hegarty, Miss. Hanora ""Nora""";;0.7489241837535324;1;False;false_positive;0.7489241837535324;0.24892418375353242
746;0;1;male;70.0;71.0;1;1;S;Crosby, Capt. Edward Gifford;B22;0.45243993231351787;0;True;true_negative;0.5475600676864821;0.04756006768648213
26;1;3;female;38.0;31.3875;1;5;S;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);;0.3926026346752519;0;False;false_negative;0.6073973653247481;0.10739736532474808
152;1;1;female;22.0;66.6;1;0;S;Pears, Mrs. Thomas (Edith Wearne);C2;0.639258911343863;1;True;true_positive;0.639258911343863;0.13925891134386303
415;1;3;male;44.0;7.925;0;0;S;Sundman, Mr. Johan Julian;;0.3910794545830347;0;False;false_negative;0.6089205454169653;0.10892054541696528
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;0.2170899237681752;0;False;false_negative;0.7829100762318248;0.2829100762318248
476;0;1;male;;52.0;0;0;S;Clifford, Mr. George Quincy;A14;0.4823170186595485;0;True;true_negative;0.5176829813404515;0.017682981340451487
405;0;3;female;20.0;8.6625;0;0;S;Oreskovic, Miss. Marija;;0.40622856221411424;0;True;true_negative;0.5937714377858858;0.09377143778588576
595;0;2;male;37.0;26.0;1;0;S;Chapman, Mr. John Henry;;0.2966444046695298;0;True;true_negative;0.7033555953304702;0.2033555953304702
336;0;3;male;;7.8958;0;0;S;Denkoff, Mr. Mitto;;0.429865506182941;0;True;true_negative;0.5701344938170589;0.070134493817059
687;0;3;male;14.0;39.6875;4;1;S;Panula, Mr. Jaako Arnold;;0.03168813756537398;0;True;true_negative;0.968311862434626;0.468311862434626
694;0;3;male;25.0;7.225;0;0;C;Saad, Mr. Khalil;;0.39574133948228807;0;True;true_negative;0.6042586605177119;0.10425866051771193
3;1;3;female;26.0;7.925;0;0;S;Heikkinen, Miss. Laina;;0.5479004679993187;1;True;true_positive;0.5479004679993187;0.047900467999318685
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;0.16855942809017288;0;False;false_negative;0.8314405719098271;0.3314405719098271
512;0;3;male;;8.05;0;0;S;Webber, Mr. James;;0.250346053161185;0;True;true_negative;0.749653946838815;0.24965394683881498
822;1;3;male;27.0;8.6625;0;0;S;Lulic, Mr. Nikola;;0.38490544781479114;0;False;false_negative;0.6150945521852089;0.11509455218520886
116;0;3;male;21.0;7.925;0;0;S;Pekoniemi, Mr. Edvard;;0.07481371634908553;0;True;true_negative;0.9251862836509145;0.4251862836509145
738;1;1;male;35.0;512.3292;0;0;C;Lesurer, Mr. Gustave J;B101;0.4868949392481529;0;False;false_negative;0.513105060751847;0.013105060751847086
56;1;1;male;;35.5;0;0;S;Woolner, Mr. Hugh;C52;0.32727427768289874;0;False;false_negative;0.6727257223171013;0.17272572231710126
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;0.39574133948228807;0;False;false_negative;0.6042586605177119;0.10425866051771193
505;1;1;female;16.0;86.5;0;0;S;Maioni, Miss. Roberta;B79;0.8553152002977087;1;True;true_positive;0.8553152002977087;0.3553152002977087
276;1;1;female;63.0;77.9583;1;0;S;Andrews, Miss. Kornelia Theodosia;D7;0.6569865574952031;1;True;true_positive;0.6569865574952031;0.15698655749520307
849;0;2;male;28.0;33.0;0;1;S;Harper, Rev. John;;0.3051905033730239;0;True;true_negative;0.6948094966269761;0.1948094966269761
800;0;3;female;30.0;24.15;1;1;S;Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert);;0.5369219793887949;1;False;false_positive;0.5369219793887949;0.036921979388794934
97;0;1;male;71.0;34.6542;0;0;C;Goldschmidt, Mr. George B;A5;0.46156387135991434;0;True;true_negative;0.5384361286400856;0.038436128640085665
463;0;1;male;47.0;38.5;0;0;S;Gee, Mr. Arthur H;E63;0.4774161977027477;0;True;true_negative;0.5225838022972523;0.02258380229725232
503;0;3;female;;7.6292;0;0;Q;O'Sullivan, Miss. Bridget Mary;;0.8499727060347467;1;False;false_positive;0.8499727060347467;0.34997270603474673
769;0;3;male;;24.15;1;0;Q;Moran, Mr. Daniel J;;0.3800338506905938;0;True;true_negative;0.6199661493094062;0.11996614930940619
332;0;1;male;45.5;28.5;0;0;S;Partner, Mr. Austen;C124;0.4779612000088498;0;True;true_negative;0.5220387999911502;0.022038799991150215
