PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9873972613555327;1;True;true_positive;0.9873972613555327;0.48739726135553274
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.06006299197365124;0;False;false_negative;0.9399370080263487;0.4399370080263488
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.4454608946243148;0;True;true_negative;0.5545391053756852;0.05453910537568518
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.9675244505581498;1;True;true_positive;0.9675244505581498;0.46752445055814984
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.538187722128242;1;True;true_positive;0.538187722128242;0.03818772212824195
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.4700056774052002;0;False;false_negative;0.5299943225947998;0.029994322594799783
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.5163020454328513;1;True;true_positive;0.5163020454328513;0.016302045432851298
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.4426032700397102;0;True;true_negative;0.5573967299602898;0.05739672996028983
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.12825982885563617;0;True;true_negative;0.8717401711443639;0.37174017114436386
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.5013966876003887;1;True;true_positive;0.5013966876003887;0.0013966876003886908
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.15523011510594528;0;True;true_negative;0.8447698848940547;0.3447698848940547
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.09475157743834245;0;True;true_negative;0.9052484225616575;0.40524842256165755
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.5044357944720083;1;True;true_positive;0.5044357944720083;0.004435794472008259
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.5960874454694023;1;True;true_positive;0.5960874454694023;0.09608744546940229
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.5960874454694023;1;True;true_positive;0.5960874454694023;0.09608744546940229
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.14876704473846752;0;True;true_negative;0.8512329552615325;0.3512329552615325
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.509377720242975;1;True;true_positive;0.509377720242975;0.009377720242975007
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.18010246150415732;0;True;true_negative;0.8198975384958427;0.3198975384958427
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.509377720242975;1;True;true_positive;0.509377720242975;0.009377720242975007
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;237736;0.8790006703470719;1;True;true_positive;0.8790006703470719;0.37900067034707186
