PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9468731171685508;1;True;true_positive;0.9468731171685508;0.4468731171685508
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.16796659396597663;0;False;false_negative;0.8320334060340233;0.33203340603402337
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.14917870408190972;0;True;true_negative;0.8508212959180903;0.3508212959180903
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.7770588868187547;1;True;true_positive;0.7770588868187547;0.2770588868187547
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.7873296795117862;1;True;true_positive;0.7873296795117862;0.28732967951178623
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.1116067731942242;0;False;false_negative;0.8883932268057758;0.3883932268057758
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.5100795248030868;1;True;true_positive;0.5100795248030868;0.010079524803086826
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.090171718559556;0;True;true_negative;0.909828281440444;0.40982828144044403
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.22883437974982204;0;True;true_negative;0.771165620250178;0.271165620250178
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.5226202102007652;1;True;true_positive;0.5226202102007652;0.02262021020076521
