PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9791746559748216;1;True;true_positive;0.9791746559748216;0.47917465597482156
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.08793193956370457;0;False;false_negative;0.9120680604362954;0.4120680604362954
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.10247371894302851;0;True;true_negative;0.8975262810569715;0.3975262810569715
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.936118318514589;1;True;true_positive;0.936118318514589;0.43611831851458904
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.8335265527844257;1;True;true_positive;0.8335265527844257;0.33352655278442567
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.3972299875394262;0;False;false_negative;0.6027700124605738;0.10277001246057382
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.5151661457102396;1;True;true_positive;0.5151661457102396;0.015166145710239554
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.08739356049186463;0;True;true_negative;0.9126064395081354;0.41260643950813536
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.13232080830726972;0;True;true_negative;0.8676791916927302;0.3676791916927303
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.4515202183432286;0;False;false_negative;0.5484797816567715;0.048479781656771415
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.14355669509099803;0;True;true_negative;0.856443304909002;0.356443304909002
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.0968124889518077;0;True;true_negative;0.9031875110481923;0.4031875110481923
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.5545557590507363;1;True;true_positive;0.5545557590507363;0.054555759050736286
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.8894455534587716;1;True;true_positive;0.8894455534587716;0.38944555345877163
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.9805479751868383;1;True;true_positive;0.9805479751868383;0.48054797518683834
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.15151438999082717;0;True;true_negative;0.8484856100091729;0.34848561000917283
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.5247167191106853;1;True;true_positive;0.5247167191106853;0.024716719110685292
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.1732789848614519;0;True;true_negative;0.8267210151385481;0.3267210151385481
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.5247167191106853;1;True;true_positive;0.5247167191106853;0.024716719110685292
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;237736;0.9113714524052828;1;True;true_positive;0.9113714524052828;0.41137145240528283
