PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;2677;0.03159331727854554;0;False;false_negative;0.9684066827214545;0.46840668272145447
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;PC 17595;0.9492037518866655;1;False;false_positive;0.9492037518866655;0.4492037518866655
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.08075383428550276;0;False;false_negative;0.9192461657144972;0.41924616571449724
272;1;3;male;25.0;0.0;0;0;S;Tornquist, Mr. William Henry;;LINE;0.08217731926177246;0;False;false_negative;0.9178226807382275;0.41782268073822754
570;1;3;male;32.0;7.8542;0;0;S;Jonsson, Mr. Carl;;350417;0.09796789573314911;0;False;false_negative;0.9020321042668509;0.4020321042668509
392;1;3;male;21.0;7.7958;0;0;S;Jansson, Mr. Carl Olof;;350034;0.09864769611540385;0;False;false_negative;0.9013523038845962;0.40135230388459614
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.10087606176858133;0;False;false_negative;0.8991239382314187;0.3991239382314187
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.8980266443714487;1;False;false_positive;0.8980266443714487;0.39802664437144875
26;1;3;female;38.0;31.3875;1;5;S;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);;347077;0.10480628657392936;0;False;false_negative;0.8951937134260707;0.3951937134260706
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;SOTON/OQ 392089;0.10485736492023874;0;False;false_negative;0.8951426350797612;0.3951426350797613
456;1;3;male;29.0;7.8958;0;0;C;Jalsevac, Mr. Ivan;;349240;0.11234975351872473;0;False;false_negative;0.8876502464812752;0.3876502464812753
631;1;1;male;80.0;30.0;0;0;S;Barkworth, Mr. Algernon Henry Wilson;A23;27042;0.11333652024811756;0;False;false_negative;0.8866634797518824;0.3866634797518824
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.8808165569581616;1;False;false_positive;0.8808165569581616;0.38081655695816163
822;1;3;male;27.0;8.6625;0;0;S;Lulic, Mr. Nikola;;315098;0.12116088351812232;0;False;false_negative;0.8788391164818776;0.3788391164818777
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;347083;0.12376286842144134;0;False;false_negative;0.8762371315785586;0.37623713157855865
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.1249709279090122;0;False;false_negative;0.8750290720909878;0.3750290720909878
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.1340486258704228;0;False;false_negative;0.8659513741295772;0.36595137412957723
554;1;3;male;22.0;7.225;0;0;C;"Leeni, Mr. Fahim (""Philip Zenni"")";;2620;0.1386446931388053;0;False;false_negative;0.8613553068611947;0.36135530686119466
358;0;2;female;38.0;13.0;0;0;S;Funk, Miss. Annie Clemmer;;237671;0.8611361016204592;1;False;false_positive;0.8611361016204592;0.36113610162045917
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;65306;0.14205329832103955;0;False;false_negative;0.8579467016789605;0.3579467016789605
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;347089;0.14304504755201103;0;False;false_negative;0.8569549524479889;0.35695495244798897
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;345774;0.14339796574887742;0;False;false_negative;0.8566020342511226;0.3566020342511226
339;1;3;male;45.0;8.05;0;0;S;Dahl, Mr. Karl Edwart;;7598;0.14478743296369373;0;False;false_negative;0.8552125670363062;0.35521256703630627
745;1;3;male;31.0;7.925;0;0;S;Stranden, Mr. Juho;;STON/O 2. 3101288;0.14678921315674665;0;False;false_negative;0.8532107868432534;0.35321078684325335
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.15545243288831626;0;False;false_negative;0.8445475671116838;0.3445475671116838
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.1585961000996205;0;False;false_negative;0.8414038999003794;0.3414038999003795
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;347077;0.1640166817218592;0;False;false_negative;0.8359833182781408;0.33598331827814076
18;1;2;male;;13.0;0;0;S;Williams, Mr. Charles Eugene;;244373;0.17362848967143382;0;False;false_negative;0.8263715103285662;0.32637151032856615
147;1;3;male;27.0;7.7958;0;0;S;"Andersson, Mr. August Edvard (""Wennerstrom"")";;350043;0.1756198276942871;0;False;false_negative;0.8243801723057129;0.3243801723057129
