PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9758033676586456;1;True;true_positive;0.9758033676586456;0.4758033676586456
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.1577581751069768;0;False;false_negative;0.8422418248930232;0.34224182489302324
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.1491618260716662;0;True;true_negative;0.8508381739283338;0.35083817392833383
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.9122537749205719;1;True;true_positive;0.9122537749205719;0.4122537749205719
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.7596977108554241;1;True;true_positive;0.7596977108554241;0.25969771085542415
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.13870290216970307;0;False;false_negative;0.861297097830297;0.36129709783029695
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.6042891619720683;1;True;true_positive;0.6042891619720683;0.10428916197206828
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.13800338576600776;0;True;true_negative;0.8619966142339922;0.3619966142339922
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.07720389434726449;0;True;true_negative;0.9227961056527355;0.4227961056527355
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.5018029625998763;1;True;true_positive;0.5018029625998763;0.0018029625998763343
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.3179340902215867;0;True;true_negative;0.6820659097784133;0.1820659097784133
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.12315624487831599;0;True;true_negative;0.876843755121684;0.376843755121684
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.5138395303467699;1;True;true_positive;0.5138395303467699;0.01383953034676988
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.7757889851269136;1;True;true_positive;0.7757889851269136;0.27578898512691363
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.9582398624659804;1;True;true_positive;0.9582398624659804;0.45823986246598036
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.1230743400585091;0;True;true_negative;0.8769256599414909;0.3769256599414909
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.5227828402530065;1;True;true_positive;0.5227828402530065;0.022782840253006476
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.12361571633925167;0;True;true_negative;0.8763842836607483;0.37638428366074833
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.4521663610080979;0;False;false_negative;0.5478336389919021;0.04783363899190213
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;237736;0.8107615416859317;1;True;true_positive;0.8107615416859317;0.31076154168593173
326;1;1;female;36.0;135.6333;0;0;C;Young, Miss. Marie Grice;C32;PC 17760;0.9630498792710167;1;True;true_positive;0.9630498792710167;0.4630498792710167
