PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9758033676586457;1;True;true_positive;0.9758033676586457;0.4758033676586457
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.1577581751069768;0;False;false_negative;0.8422418248930232;0.34224182489302324
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.14916182607166617;0;True;true_negative;0.8508381739283338;0.35083817392833383
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.9122537749205722;1;True;true_positive;0.9122537749205722;0.41225377492057225
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.7596977108554243;1;True;true_positive;0.7596977108554243;0.25969771085542426
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.13870290216970307;0;False;false_negative;0.861297097830297;0.36129709783029695
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.6042891619720684;1;True;true_positive;0.6042891619720684;0.10428916197206839
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.1380033857660078;0;True;true_negative;0.8619966142339922;0.3619966142339922
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.07720389434726448;0;True;true_negative;0.9227961056527355;0.4227961056527355
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.501802962599876;1;True;true_positive;0.501802962599876;0.0018029625998760013
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.31793409022158664;0;True;true_negative;0.6820659097784134;0.18206590977841336
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.12315624487831595;0;True;true_negative;0.8768437551216841;0.37684375512168405
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.5138395303467697;1;True;true_positive;0.5138395303467697;0.013839530346769657
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.7757889851269135;1;True;true_positive;0.7757889851269135;0.2757889851269135
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.9582398624659804;1;True;true_positive;0.9582398624659804;0.45823986246598036
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.1230743400585091;0;True;true_negative;0.8769256599414909;0.3769256599414909
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.5227828402530067;1;True;true_positive;0.5227828402530067;0.022782840253006698
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.12361571633925167;0;True;true_negative;0.8763842836607483;0.37638428366074833
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.4521663610080977;0;False;false_negative;0.5478336389919023;0.047833638991902294
