PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9532328420467725;1;False;false_positive;0.9532328420467725;0.4532328420467725
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.05300586640145953;0;False;false_negative;0.9469941335985405;0.44699413359854046
415;1;3;male;44.0;7.925;0;0;S;Sundman, Mr. Johan Julian;;STON/O 2. 3101269;0.055883186794820315;0;False;false_negative;0.9441168132051797;0.4441168132051797
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.941517024015804;1;False;false_positive;0.941517024015804;0.44151702401580395
339;1;3;male;45.0;8.05;0;0;S;Dahl, Mr. Karl Edwart;;7598;0.06291206857806991;0;False;false_negative;0.93708793142193;0.4370879314219301
401;1;3;male;39.0;7.925;0;0;S;Niskanen, Mr. Juha;;STON/O 2. 3101289;0.06372327113013332;0;False;false_negative;0.9362767288698667;0.4362767288698667
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;347083;0.06408065343214811;0;False;false_negative;0.9359193465678519;0.4359193465678519
570;1;3;male;32.0;7.8542;0;0;S;Jonsson, Mr. Carl;;350417;0.07114903077142047;0;False;false_negative;0.9288509692285796;0.4288509692285795
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;STON/O 2. 3101286;0.07159176522635946;0;False;false_negative;0.9284082347736405;0.42840823477364054
745;1;3;male;31.0;7.925;0;0;S;Stranden, Mr. Juho;;STON/O 2. 3101288;0.07307435686944576;0;False;false_negative;0.9269256431305543;0.42692564313055426
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;345774;0.0764288677617561;0;False;false_negative;0.9235711322382439;0.4235711322382439
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.0778689778756668;0;False;false_negative;0.9221310221243332;0.4221310221243332
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;312991;0.07824569889200324;0;False;false_negative;0.9217543011079967;0.4217543011079968
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;65306;0.07834107978971715;0;False;false_negative;0.9216589202102828;0.42165892021028284
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.07873431987902127;0;False;false_negative;0.9212656801209788;0.42126568012097876
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;2677;0.08154822076621815;0;False;false_negative;0.9184517792337819;0.41845177923378185
