PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.0;0;False;false_negative;1.0;0.5
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.0;0;False;false_negative;1.0;0.5
401;1;3;male;39.0;7.925;0;0;S;Niskanen, Mr. Juha;;STON/O 2. 3101289;0.0;0;False;false_negative;1.0;0.5
358;0;2;female;38.0;13.0;0;0;S;Funk, Miss. Annie Clemmer;;237671;1.0;1;False;false_positive;1.0;0.5
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;312991;0.0;0;False;false_negative;1.0;0.5
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.0;0;False;false_negative;1.0;0.5
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;347083;0.0;0;False;false_negative;1.0;0.5
26;1;3;female;38.0;31.3875;1;5;S;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);;347077;0.0;0;False;false_negative;1.0;0.5
200;0;2;female;24.0;13.0;0;0;S;"Yrois, Miss. Henriette (""Mrs Harbeck"")";;248747;1.0;1;False;false_positive;1.0;0.5
855;0;2;female;44.0;26.0;1;0;S;Carter, Mrs. Ernest Courtenay (Lilian Hughes);;244252;1.0;1;False;false_positive;1.0;0.5
210;1;1;male;40.0;31.0;0;0;C;Blank, Mr. Henry;A31;112277;0.0;0;False;false_negative;1.0;0.5
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;65306;0.0;0;False;false_negative;1.0;0.5
252;0;3;female;29.0;10.4625;1;1;S;Strom, Mrs. Wilhelm (Elna Matilda Persson);G6;347054;1.0;1;False;false_positive;1.0;0.5
681;0;3;female;;8.1375;0;0;Q;Peters, Miss. Katie;;330935;1.0;1;False;false_positive;1.0;0.5
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.0;0;False;false_negative;1.0;0.5
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;347077;0.0;0;False;false_negative;1.0;0.5
503;0;3;female;;7.6292;0;0;Q;O'Sullivan, Miss. Bridget Mary;;330909;1.0;1;False;false_positive;1.0;0.5
565;0;3;female;;8.05;0;0;S;Meanwell, Miss. (Marion Ogden);;SOTON/O.Q. 392087;1.0;1;False;false_positive;1.0;0.5
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;1.0;1;False;false_positive;1.0;0.5
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.0;0;False;false_negative;1.0;0.5
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;1.0;1;False;false_positive;1.0;0.5
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;345774;0.0;0;False;false_negative;1.0;0.5
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;SOTON/OQ 392089;0.0;0;False;false_negative;1.0;0.5
69;1;3;female;17.0;7.925;4;2;S;Andersson, Miss. Erna Alexandra;;3101281;0.0;0;False;false_negative;1.0;0.5
554;1;3;male;22.0;7.225;0;0;C;"Leeni, Mr. Fahim (""Philip Zenni"")";;2620;0.0;0;False;false_negative;1.0;0.5
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.0;0;False;false_negative;1.0;0.5
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;PC 17595;1.0;1;False;false_positive;1.0;0.5
205;1;3;male;18.0;8.05;0;0;S;"Cohen, Mr. Gurshon ""Gus""";;A/5 3540;0.0;0;False;false_negative;1.0;0.5
