PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9963608124614853;1;False;false_positive;0.9963608124614853;0.49636081246148533
205;1;3;male;18.0;8.05;0;0;S;"Cohen, Mr. Gurshon ""Gus""";;A/5 3540;0.029086776093075643;0;False;false_negative;0.9709132239069244;0.47091322390692436
69;1;3;female;17.0;7.925;4;2;S;Andersson, Miss. Erna Alexandra;;3101281;0.035080697160996835;0;False;false_negative;0.9649193028390032;0.4649193028390032
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.9631459061100763;1;False;false_positive;0.9631459061100763;0.46314590611007633
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.042856444813087716;0;False;false_negative;0.9571435551869123;0.4571435551869123
200;0;2;female;24.0;13.0;0;0;S;"Yrois, Miss. Henriette (""Mrs Harbeck"")";;248747;0.9510710103468798;1;False;false_positive;0.9510710103468798;0.4510710103468798
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;347077;0.04997091707054787;0;False;false_negative;0.9500290829294521;0.45002908292945215
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;11668;0.9467480436702448;1;False;false_positive;0.9467480436702448;0.4467480436702448
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;2677;0.05384452976753158;0;False;false_negative;0.9461554702324684;0.44615547023246843
128;1;3;male;24.0;7.1417;0;0;S;Madsen, Mr. Fridtjof Arne;;C 17369;0.05534981252711027;0;False;false_negative;0.9446501874728898;0.44465018747288976
392;1;3;male;21.0;7.7958;0;0;S;Jansson, Mr. Carl Olof;;350034;0.05589853131235819;0;False;false_negative;0.9441014686876418;0.44410146868764183
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.933644204604708;1;False;false_positive;0.933644204604708;0.433644204604708
