PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9878614109700281;1;True;true_positive;0.9878614109700281;0.4878614109700281
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.05495315678329117;0;False;false_negative;0.9450468432167088;0.44504684321670884
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.30310310094328513;0;True;true_negative;0.6968968990567148;0.19689689905671487
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.9867700633657265;1;True;true_positive;0.9867700633657265;0.4867700633657265
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.5062918966797549;1;True;true_positive;0.5062918966797549;0.006291896679754938
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.27045122837549634;0;False;false_negative;0.7295487716245037;0.22954877162450366
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.6426604681570591;1;True;true_positive;0.6426604681570591;0.14266046815705913
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.30310310094328513;0;True;true_negative;0.6968968990567148;0.19689689905671487
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.06079879859798819;0;True;true_negative;0.9392012014020118;0.4392012014020118
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.3999295770925695;0;False;false_negative;0.6000704229074305;0.10007042290743051
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.1563917466505461;0;True;true_negative;0.8436082533494539;0.3436082533494539
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.036336177986513646;0;True;true_negative;0.9636638220134863;0.4636638220134863
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.4287616698957712;0;False;false_negative;0.5712383301042288;0.07123833010422881
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.547841820542326;1;True;true_positive;0.547841820542326;0.047841820542326
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.547841820542326;1;True;true_positive;0.547841820542326;0.047841820542326
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.10924375409126447;0;True;true_negative;0.8907562459087355;0.39075624590873553
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.3227968979615278;0;False;false_negative;0.6772031020384722;0.17720310203847223
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.10672174004383612;0;True;true_negative;0.8932782599561638;0.3932782599561639
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.42335054564278585;0;False;false_negative;0.5766494543572142;0.07664945435721415
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;237736;0.9813214660295366;1;True;true_positive;0.9813214660295366;0.4813214660295366
326;1;1;female;36.0;135.6333;0;0;C;Young, Miss. Marie Grice;C32;PC 17760;0.547841820542326;1;True;true_positive;0.547841820542326;0.047841820542326
