PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9950123390953446;1;True;true_positive;0.9950123390953446;0.4950123390953446
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.17617266226926398;0;False;false_negative;0.823827337730736;0.323827337730736
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.30527559135140836;0;True;true_negative;0.6947244086485916;0.19472440864859164
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.9732724175178951;1;True;true_positive;0.9732724175178951;0.47327241751789506
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.53310842924776;1;True;true_positive;0.53310842924776;0.03310842924776003
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.14966442495048482;0;False;false_negative;0.8503355750495152;0.3503355750495152
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.7138371730865571;1;True;true_positive;0.7138371730865571;0.21383717308655714
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.30527559135140836;0;True;true_negative;0.6947244086485916;0.19472440864859164
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.07314660722000484;0;True;true_negative;0.9268533927799951;0.4268533927799952
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.4895578521587798;0;False;false_negative;0.5104421478412202;0.010442147841220217
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.13184334788713362;0;True;true_negative;0.8681566521128664;0.3681566521128664
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.03189702724757048;0;True;true_negative;0.9681029727524295;0.4681029727524295
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.5515271191191833;1;True;true_positive;0.5515271191191833;0.051527119119183284
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.53310842924776;1;True;true_positive;0.53310842924776;0.03310842924776003
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.53310842924776;1;True;true_positive;0.53310842924776;0.03310842924776003
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.10847316753493887;0;True;true_negative;0.8915268324650611;0.39152683246506115
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.2991848998725506;0;False;false_negative;0.7008151001274494;0.2008151001274494
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.14762979314656485;0;True;true_negative;0.8523702068534351;0.3523702068534351
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.3871230151762169;0;False;false_negative;0.6128769848237832;0.11287698482378311
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;237736;0.9826240177454727;1;True;true_positive;0.9826240177454727;0.4826240177454727
326;1;1;female;36.0;135.6333;0;0;C;Young, Miss. Marie Grice;C32;PC 17760;0.53310842924776;1;True;true_positive;0.53310842924776;0.03310842924776003
514;1;1;female;54.0;59.4;1;0;C;Rothschild, Mrs. Martin (Elizabeth L. Barrett);;PC 17603;0.9726987015611375;1;True;true_positive;0.9726987015611375;0.47269870156113747
801;0;2;male;34.0;13.0;0;0;S;Ponesell, Mr. Martin;;250647;0.30527559135140836;0;True;true_negative;0.6947244086485916;0.19472440864859164
474;1;2;female;23.0;13.7917;0;0;C;Jerwan, Mrs. Amin S (Marie Marthe Thuillard);D;SC/AH Basle 541;0.9428633827519992;1;True;true_positive;0.9428633827519992;0.4428633827519992
423;0;3;male;29.0;7.875;0;0;S;Zimmerman, Mr. Leo;;315082;0.39082318573458336;0;True;true_negative;0.6091768142654166;0.10917681426541664
87;0;3;male;16.0;34.375;1;3;S;Ford, Mr. William Neal;;W./C. 6608;0.15092182813177868;0;True;true_negative;0.8490781718682213;0.3490781718682213
629;0;3;male;26.0;7.8958;0;0;S;Bostandyeff, Mr. Guentcho;;349224;0.30527559135140836;0;True;true_negative;0.6947244086485916;0.19472440864859164
43;0;3;male;;7.8958;0;0;C;Kraeff, Mr. Theodor;;349253;0.18920034022456825;0;True;true_negative;0.8107996597754318;0.3107996597754318
743;1;1;female;21.0;262.375;2;2;C;"Ryerson, Miss. Susan Parker ""Suzette""";B57 B59 B63 B66;PC 17608;0.8499690752170824;1;True;true_positive;0.8499690752170824;0.3499690752170824
837;0;3;male;21.0;8.6625;0;0;S;Pasic, Mr. Jakob;;315097;0.30527559135140836;0;True;true_negative;0.6947244086485916;0.19472440864859164
611;0;3;female;39.0;31.275;1;5;S;Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren);;347082;0.22893578546394477;0;True;true_negative;0.7710642145360552;0.2710642145360552
174;0;3;male;21.0;7.925;0;0;S;Sivola, Mr. Antti Wilhelm;;STON/O 2. 3101280;0.08973600041846966;0;True;true_negative;0.9102639995815304;0.41026399958153037
125;0;1;male;54.0;77.2875;0;1;S;White, Mr. Percival Wayland;D26;35281;0.07403320064759433;0;True;true_negative;0.9259667993524057;0.42596679935240567
747;0;3;male;16.0;20.25;1;1;S;Abbott, Mr. Rossmore Edward;;C.A. 2673;0.06750666853980059;0;True;true_negative;0.9324933314601994;0.4324933314601994
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.9203840180129811;1;False;false_positive;0.9203840180129811;0.4203840180129811
410;0;3;female;;25.4667;3;1;S;Lefebre, Miss. Ida;;4133;0.054142998404152945;0;True;true_negative;0.9458570015958471;0.44585700159584707
244;0;3;male;22.0;7.125;0;0;S;Maenpaa, Mr. Matti Alexanteri;;STON/O 2. 3101275;0.26177995196878806;0;True;true_negative;0.738220048031212;0.23822004803121194
560;1;3;female;36.0;17.4;1;0;S;de Messemaeker, Mrs. Guillaume Joseph (Emma);;345572;0.6073127234624175;1;True;true_positive;0.6073127234624175;0.10731272346241749
293;0;2;male;36.0;12.875;0;0;C;Levy, Mr. Rene Jacques;D;SC/Paris 2163;0.24874078403918162;0;True;true_negative;0.7512592159608183;0.25125921596081835
446;1;1;male;4.0;81.8583;0;2;S;Dodge, Master. Washington;A34;33638;0.9285862833664602;1;True;true_positive;0.9285862833664602;0.4285862833664602
