PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9950253586355519;1;True;true_positive;0.9950253586355519;0.49502535863555186
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.18110670204099788;0;False;false_negative;0.8188932979590021;0.3188932979590021
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.30515494636997154;0;True;true_negative;0.6948450536300285;0.19484505363002846
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.9625983652762575;1;True;true_positive;0.9625983652762575;0.46259836527625753
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.5336313471671147;1;True;true_positive;0.5336313471671147;0.03363134716711469
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.09763543748494198;0;False;false_negative;0.902364562515058;0.40236456251505803
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.6019606692476476;1;True;true_positive;0.6019606692476476;0.10196066924764757
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.30515494636997154;0;True;true_negative;0.6948450536300285;0.19484505363002846
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.10265421936416991;0;True;true_negative;0.89734578063583;0.3973457806358301
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.47399196281768;0;False;false_negative;0.5260080371823199;0.026008037182319976
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.13298674755894052;0;True;true_negative;0.8670132524410594;0.3670132524410595
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.02451740679933766;0;True;true_negative;0.9754825932006623;0.47548259320066233
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.5001372857321971;1;True;true_positive;0.5001372857321971;0.00013728573219706774
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.5336313471671147;1;True;true_positive;0.5336313471671147;0.03363134716711469
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.5336313471671147;1;True;true_positive;0.5336313471671147;0.03363134716711469
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.12096678494351056;0;True;true_negative;0.8790332150564895;0.37903321505648946
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.6263292962507827;1;True;true_positive;0.6263292962507827;0.1263292962507827
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.10784344174634772;0;True;true_negative;0.8921565582536523;0.39215655825365225
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.2525965718368022;0;False;false_negative;0.7474034281631978;0.24740342816319782
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;237736;0.9744530860812297;1;True;true_positive;0.9744530860812297;0.4744530860812297
326;1;1;female;36.0;135.6333;0;0;C;Young, Miss. Marie Grice;C32;PC 17760;0.5336313471671147;1;True;true_positive;0.5336313471671147;0.03363134716711469
514;1;1;female;54.0;59.4;1;0;C;Rothschild, Mrs. Martin (Elizabeth L. Barrett);;PC 17603;0.9809076843646065;1;True;true_positive;0.9809076843646065;0.4809076843646065
801;0;2;male;34.0;13.0;0;0;S;Ponesell, Mr. Martin;;250647;0.30515494636997154;0;True;true_negative;0.6948450536300285;0.19484505363002846
474;1;2;female;23.0;13.7917;0;0;C;Jerwan, Mrs. Amin S (Marie Marthe Thuillard);D;SC/AH Basle 541;0.9669437441982892;1;True;true_positive;0.9669437441982892;0.4669437441982892
423;0;3;male;29.0;7.875;0;0;S;Zimmerman, Mr. Leo;;315082;0.3276141648273245;0;True;true_negative;0.6723858351726755;0.17238583517267547
87;0;3;male;16.0;34.375;1;3;S;Ford, Mr. William Neal;;W./C. 6608;0.007791759238370067;0;True;true_negative;0.99220824076163;0.49220824076162994
629;0;3;male;26.0;7.8958;0;0;S;Bostandyeff, Mr. Guentcho;;349224;0.30515494636997154;0;True;true_negative;0.6948450536300285;0.19484505363002846
43;0;3;male;;7.8958;0;0;C;Kraeff, Mr. Theodor;;349253;0.22314319810203204;0;True;true_negative;0.776856801897968;0.27685680189796796
