PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.954132080078125;1;True;true_positive;0.954132080078125;0.454132080078125
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.08789613842964172;0;False;false_negative;0.9121038615703583;0.4121038615703583
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.30405521392822266;0;True;true_negative;0.6959447860717773;0.19594478607177734
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.9934954643249512;1;True;true_positive;0.9934954643249512;0.49349546432495117
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.5293824672698975;1;True;true_positive;0.5293824672698975;0.02938246726989746
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.24905306100845337;0;False;false_negative;0.7509469389915466;0.25094693899154663
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.5254538655281067;1;True;true_positive;0.5254538655281067;0.02545386552810669
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.30405521392822266;0;True;true_negative;0.6959447860717773;0.19594478607177734
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.03850321099162102;0;True;true_negative;0.961496789008379;0.461496789008379
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.20626240968704224;0;False;false_negative;0.7937375903129578;0.29373759031295776
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.0870213657617569;0;True;true_negative;0.9129786342382431;0.4129786342382431
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.10592930018901825;0;True;true_negative;0.8940706998109818;0.39407069981098175
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.47836124897003174;0;False;false_negative;0.5216387510299683;0.02163875102996826
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.5293824672698975;1;True;true_positive;0.5293824672698975;0.02938246726989746
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.5293824672698975;1;True;true_positive;0.5293824672698975;0.02938246726989746
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.09797853976488113;0;True;true_negative;0.9020214602351189;0.40202146023511887
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.5309118628501892;1;True;true_positive;0.5309118628501892;0.03091186285018921
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.14853905141353607;0;True;true_negative;0.8514609485864639;0.35146094858646393
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.32397520542144775;0;False;false_negative;0.6760247945785522;0.17602479457855225
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;237736;0.9148793816566467;1;True;true_positive;0.9148793816566467;0.41487938165664673
326;1;1;female;36.0;135.6333;0;0;C;Young, Miss. Marie Grice;C32;PC 17760;0.5293824672698975;1;True;true_positive;0.5293824672698975;0.02938246726989746
514;1;1;female;54.0;59.4;1;0;C;Rothschild, Mrs. Martin (Elizabeth L. Barrett);;PC 17603;0.9553174376487732;1;True;true_positive;0.9553174376487732;0.4553174376487732
