PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9948069453239441;1;False;false_positive;0.9948069453239441;0.4948069453239441
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.02107832580804825;0;False;false_negative;0.9789216741919518;0.47892167419195175
205;1;3;male;18.0;8.05;0;0;S;"Cohen, Mr. Gurshon ""Gus""";;A/5 3540;0.02616805024445057;0;False;false_negative;0.9738319497555494;0.47383194975554943
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.02881883829832077;0;False;false_negative;0.9711811617016792;0.47118116170167923
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.9664116501808167;1;False;false_positive;0.9664116501808167;0.46641165018081665
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;2677;0.04389695078134537;0;False;false_negative;0.9561030492186546;0.45610304921865463
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;PC 17595;0.9547604918479919;1;False;false_positive;0.9547604918479919;0.45476049184799194
272;1;3;male;25.0;0.0;0;0;S;Tornquist, Mr. William Henry;;LINE;0.04854382947087288;0;False;false_negative;0.9514561705291271;0.4514561705291271
401;1;3;male;39.0;7.925;0;0;S;Niskanen, Mr. Juha;;STON/O 2. 3101289;0.05459541454911232;0;False;false_negative;0.9454045854508877;0.4454045854508877
855;0;2;female;44.0;26.0;1;0;S;Carter, Mrs. Ernest Courtenay (Lilian Hughes);;244252;0.9387513399124146;1;False;false_positive;0.9387513399124146;0.43875133991241455
200;0;2;female;24.0;13.0;0;0;S;"Yrois, Miss. Henriette (""Mrs Harbeck"")";;248747;0.929779052734375;1;False;false_positive;0.929779052734375;0.429779052734375
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;11668;0.9287668466567993;1;False;false_positive;0.9287668466567993;0.4287668466567993
415;1;3;male;44.0;7.925;0;0;S;Sundman, Mr. Johan Julian;;STON/O 2. 3101269;0.07229910045862198;0;False;false_negative;0.927700899541378;0.427700899541378
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;347083;0.07686345279216766;0;False;false_negative;0.9231365472078323;0.42313654720783234
