PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.09286746382713318;0;False;false_negative;0.9071325361728668;0.4071325361728668
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;347077;0.112077496945858;0;False;false_negative;0.887922503054142;0.387922503054142
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;SOTON/OQ 392089;0.11305303126573563;0;False;false_negative;0.8869469687342644;0.3869469687342644
128;1;3;male;24.0;7.1417;0;0;S;Madsen, Mr. Fridtjof Arne;;C 17369;0.1180596798658371;0;False;false_negative;0.8819403201341629;0.3819403201341629
392;1;3;male;21.0;7.7958;0;0;S;Jansson, Mr. Carl Olof;;350034;0.1180596798658371;0;False;false_negative;0.8819403201341629;0.3819403201341629
205;1;3;male;18.0;8.05;0;0;S;"Cohen, Mr. Gurshon ""Gus""";;A/5 3540;0.1180596798658371;0;False;false_negative;0.8819403201341629;0.3819403201341629
26;1;3;female;38.0;31.3875;1;5;S;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);;347077;0.11901085823774338;0;False;false_negative;0.8809891417622566;0.3809891417622566
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.12432553619146347;0;False;false_negative;0.8756744638085365;0.37567446380853653
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.8733713626861572;1;False;false_positive;0.8733713626861572;0.3733713626861572
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.8733713626861572;1;False;false_positive;0.8733713626861572;0.3733713626861572
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;STON/O 2. 3101286;0.12854033708572388;0;False;false_negative;0.8714596629142761;0.3714596629142761
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.12854033708572388;0;False;false_negative;0.8714596629142761;0.3714596629142761
