PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9797034859657288;1;True;true_positive;0.9797034859657288;0.47970348596572876
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.21738801896572113;0;False;false_negative;0.7826119810342789;0.28261198103427887
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.26563432812690735;0;True;true_negative;0.7343656718730927;0.23436567187309265
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.9913337826728821;1;True;true_positive;0.9913337826728821;0.4913337826728821
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.5747479200363159;1;True;true_positive;0.5747479200363159;0.07474792003631592
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.07945859432220459;0;False;false_negative;0.9205414056777954;0.4205414056777954
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.6080870032310486;1;True;true_positive;0.6080870032310486;0.10808700323104858
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.26563432812690735;0;True;true_negative;0.7343656718730927;0.23436567187309265
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.07505467534065247;0;True;true_negative;0.9249453246593475;0.42494532465934753
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.647705614566803;1;True;true_positive;0.647705614566803;0.14770561456680298
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.1389893740415573;0;True;true_negative;0.8610106259584427;0.3610106259584427
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.06781254708766937;0;True;true_negative;0.9321874529123306;0.4321874529123306
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.5216350555419922;1;True;true_positive;0.5216350555419922;0.021635055541992188
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.5747479200363159;1;True;true_positive;0.5747479200363159;0.07474792003631592
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.5747479200363159;1;True;true_positive;0.5747479200363159;0.07474792003631592
