PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9927588701248169;1;False;false_positive;0.9927588701248169;0.4927588701248169
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.023019306361675262;0;False;false_negative;0.9769806936383247;0.47698069363832474
205;1;3;male;18.0;8.05;0;0;S;"Cohen, Mr. Gurshon ""Gus""";;A/5 3540;0.023952914401888847;0;False;false_negative;0.9760470855981112;0.47604708559811115
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.03680641949176788;0;False;false_negative;0.9631935805082321;0.4631935805082321
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;2677;0.03850395977497101;0;False;false_negative;0.961496040225029;0.461496040225029
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.9551796913146973;1;False;false_positive;0.9551796913146973;0.45517969131469727
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;SOTON/OQ 392089;0.05246797949075699;0;False;false_negative;0.947532020509243;0.447532020509243
855;0;2;female;44.0;26.0;1;0;S;Carter, Mrs. Ernest Courtenay (Lilian Hughes);;244252;0.9453418254852295;1;False;false_positive;0.9453418254852295;0.4453418254852295
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.06349556148052216;0;False;false_negative;0.9365044385194778;0.43650443851947784
200;0;2;female;24.0;13.0;0;0;S;"Yrois, Miss. Henriette (""Mrs Harbeck"")";;248747;0.911980390548706;1;False;false_positive;0.911980390548706;0.41198039054870605
392;1;3;male;21.0;7.7958;0;0;S;Jansson, Mr. Carl Olof;;350034;0.0884946659207344;0;False;false_negative;0.9115053340792656;0.4115053340792656
128;1;3;male;24.0;7.1417;0;0;S;Madsen, Mr. Fridtjof Arne;;C 17369;0.0936325266957283;0;False;false_negative;0.9063674733042717;0.4063674733042717
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;312991;0.09400234371423721;0;False;false_negative;0.9059976562857628;0.4059976562857628
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.09587567299604416;0;False;false_negative;0.9041243270039558;0.40412432700395584
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;65306;0.09587567299604416;0;False;false_negative;0.9041243270039558;0.40412432700395584
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;345774;0.09587567299604416;0;False;false_negative;0.9041243270039558;0.40412432700395584
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;347077;0.09617502987384796;0;False;false_negative;0.903824970126152;0.40382497012615204
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.8962436318397522;1;False;false_positive;0.8962436318397522;0.3962436318397522
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;347089;0.10775601118803024;0;False;false_negative;0.8922439888119698;0.39224398881196976
