PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9898626804351807;1;True;true_positive;0.9898626804351807;0.48986268043518066
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.21290239691734314;0;False;false_negative;0.7870976030826569;0.28709760308265686
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.277687132358551;0;True;true_negative;0.722312867641449;0.22231286764144897
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.8604730367660522;1;True;true_positive;0.8604730367660522;0.36047303676605225
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.5472947955131531;1;True;true_positive;0.5472947955131531;0.047294795513153076
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.1307505965232849;0;False;false_negative;0.8692494034767151;0.3692494034767151
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.636427104473114;1;True;true_positive;0.636427104473114;0.136427104473114
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.277687132358551;0;True;true_negative;0.722312867641449;0.22231286764144897
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.1574135422706604;0;True;true_negative;0.8425864577293396;0.3425864577293396
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.590825080871582;1;True;true_positive;0.590825080871582;0.09082508087158203
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.13986723124980927;0;True;true_negative;0.8601327687501907;0.36013276875019073
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.046945422887802124;0;True;true_negative;0.9530545771121979;0.4530545771121979
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.5122516751289368;1;True;true_positive;0.5122516751289368;0.012251675128936768
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.5587177276611328;1;True;true_positive;0.5587177276611328;0.05871772766113281
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.5587177276611328;1;True;true_positive;0.5587177276611328;0.05871772766113281
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.0997299998998642;0;True;true_negative;0.9002700001001358;0.4002700001001358
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.448637455701828;0;False;false_negative;0.551362544298172;0.051362544298172
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.10478164255619049;0;True;true_negative;0.8952183574438095;0.3952183574438095
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.4721072316169739;0;False;false_negative;0.5278927683830261;0.027892768383026123
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;237736;0.9861428141593933;1;True;true_positive;0.9861428141593933;0.4861428141593933
326;1;1;female;36.0;135.6333;0;0;C;Young, Miss. Marie Grice;C32;PC 17760;0.5587177276611328;1;True;true_positive;0.5587177276611328;0.05871772766113281
514;1;1;female;54.0;59.4;1;0;C;Rothschild, Mrs. Martin (Elizabeth L. Barrett);;PC 17603;0.9573045372962952;1;True;true_positive;0.9573045372962952;0.45730453729629517
801;0;2;male;34.0;13.0;0;0;S;Ponesell, Mr. Martin;;250647;0.277687132358551;0;True;true_negative;0.722312867641449;0.22231286764144897
474;1;2;female;23.0;13.7917;0;0;C;Jerwan, Mrs. Amin S (Marie Marthe Thuillard);D;SC/AH Basle 541;0.9372888803482056;1;True;true_positive;0.9372888803482056;0.43728888034820557
423;0;3;male;29.0;7.875;0;0;S;Zimmerman, Mr. Leo;;315082;0.3532589375972748;0;True;true_negative;0.6467410624027252;0.14674106240272522
87;0;3;male;16.0;34.375;1;3;S;Ford, Mr. William Neal;;W./C. 6608;0.1927017867565155;0;True;true_negative;0.8072982132434845;0.3072982132434845
629;0;3;male;26.0;7.8958;0;0;S;Bostandyeff, Mr. Guentcho;;349224;0.277687132358551;0;True;true_negative;0.722312867641449;0.22231286764144897
