PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9976018071174622;1;False;false_positive;0.9976018071174622;0.49760180711746216
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.9835466146469116;1;False;false_positive;0.9835466146469116;0.4835466146469116
205;1;3;male;18.0;8.05;0;0;S;"Cohen, Mr. Gurshon ""Gus""";;A/5 3540;0.01881526969373226;0;False;false_negative;0.9811847303062677;0.48118473030626774
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.021819155663251877;0;False;false_negative;0.9781808443367481;0.4781808443367481
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.02412181720137596;0;False;false_negative;0.975878182798624;0.47587818279862404
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;11668;0.9699656367301941;1;False;false_positive;0.9699656367301941;0.4699656367301941
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;2677;0.031036000698804855;0;False;false_negative;0.9689639993011951;0.46896399930119514
855;0;2;female;44.0;26.0;1;0;S;Carter, Mrs. Ernest Courtenay (Lilian Hughes);;244252;0.966397225856781;1;False;false_positive;0.966397225856781;0.466397225856781
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.05526691675186157;0;False;false_negative;0.9447330832481384;0.4447330832481384
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;SOTON/OQ 392089;0.05619661509990692;0;False;false_negative;0.9438033849000931;0.4438033849000931
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.07126513123512268;0;False;false_negative;0.9287348687648773;0.4287348687648773
272;1;3;male;25.0;0.0;0;0;S;Tornquist, Mr. William Henry;;LINE;0.07458163797855377;0;False;false_negative;0.9254183620214462;0.42541836202144623
15;0;3;female;14.0;7.8542;0;0;S;Vestrom, Miss. Hulda Amanda Adolfina;;350406;0.9252215623855591;1;False;false_positive;0.9252215623855591;0.4252215623855591
18;1;2;male;;13.0;0;0;S;Williams, Mr. Charles Eugene;;244373;0.07665615528821945;0;False;false_negative;0.9233438447117805;0.42334384471178055
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.9177437424659729;1;False;false_positive;0.9177437424659729;0.4177437424659729
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;347077;0.08231735229492188;0;False;false_negative;0.9176826477050781;0.4176826477050781
