PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;11668;0.9743162989616394;1;False;false_positive;0.9743162989616394;0.4743162989616394
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;PC 17595;0.9740678668022156;1;False;false_positive;0.9740678668022156;0.4740678668022156
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.030923541635274887;0;False;false_negative;0.9690764583647251;0.4690764583647251
401;1;3;male;39.0;7.925;0;0;S;Niskanen, Mr. Juha;;STON/O 2. 3101289;0.05707100033760071;0;False;false_negative;0.9429289996623993;0.4429289996623993
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;SOTON/OQ 392089;0.05744052678346634;0;False;false_negative;0.9425594732165337;0.44255947321653366
594;0;3;female;;7.75;0;2;Q;Bourke, Miss. Mary;;364848;0.9367654323577881;1;False;false_positive;0.9367654323577881;0.4367654323577881
456;1;3;male;29.0;7.8958;0;0;C;Jalsevac, Mr. Ivan;;349240;0.06721875071525574;0;False;false_negative;0.9327812492847443;0.43278124928474426
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.9301180243492126;1;False;false_positive;0.9301180243492126;0.43011802434921265
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.07255169749259949;0;False;false_negative;0.9274483025074005;0.4274483025074005
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;347077;0.07474740594625473;0;False;false_negative;0.9252525940537453;0.42525259405374527
415;1;3;male;44.0;7.925;0;0;S;Sundman, Mr. Johan Julian;;STON/O 2. 3101269;0.08449052274227142;0;False;false_negative;0.9155094772577286;0.4155094772577286
397;0;3;female;31.0;7.8542;0;0;S;Olsson, Miss. Elina;;350407;0.9103751182556152;1;False;false_positive;0.9103751182556152;0.41037511825561523
502;0;3;female;21.0;7.75;0;0;Q;Canavan, Miss. Mary;;364846;0.9098485708236694;1;False;false_positive;0.9098485708236694;0.40984857082366943
18;1;2;male;;13.0;0;0;S;Williams, Mr. Charles Eugene;;244373;0.0928499698638916;0;False;false_negative;0.9071500301361084;0.4071500301361084
272;1;3;male;25.0;0.0;0;0;S;Tornquist, Mr. William Henry;;LINE;0.09346266090869904;0;False;false_negative;0.906537339091301;0.40653733909130096
822;1;3;male;27.0;8.6625;0;0;S;Lulic, Mr. Nikola;;315098;0.0946749821305275;0;False;false_negative;0.9053250178694725;0.4053250178694725
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.09711748361587524;0;False;false_negative;0.9028825163841248;0.40288251638412476
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;345774;0.09711748361587524;0;False;false_negative;0.9028825163841248;0.40288251638412476
339;1;3;male;45.0;8.05;0;0;S;Dahl, Mr. Karl Edwart;;7598;0.10272879898548126;0;False;false_negative;0.8972712010145187;0.39727120101451874
503;0;3;female;;7.6292;0;0;Q;O'Sullivan, Miss. Bridget Mary;;330909;0.8906630277633667;1;False;false_positive;0.8906630277633667;0.3906630277633667
26;1;3;female;38.0;31.3875;1;5;S;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);;347077;0.11161103844642639;0;False;false_negative;0.8883889615535736;0.3883889615535736
247;0;3;female;25.0;7.775;0;0;S;Lindahl, Miss. Agda Thorilda Viktoria;;347071;0.8848621249198914;1;False;false_positive;0.8848621249198914;0.38486212491989136
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;65306;0.11745279282331467;0;False;false_negative;0.8825472071766853;0.38254720717668533
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;312991;0.11869708448648453;0;False;false_negative;0.8813029155135155;0.3813029155135155
658;0;3;female;32.0;15.5;1;1;Q;Bourke, Mrs. John (Catherine);;364849;0.8730952143669128;1;False;false_positive;0.8730952143669128;0.37309521436691284
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;347083;0.12985794246196747;0;False;false_negative;0.8701420575380325;0.37014205753803253
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;347089;0.13586434721946716;0;False;false_negative;0.8641356527805328;0.36413565278053284
69;1;3;female;17.0;7.925;4;2;S;Andersson, Miss. Erna Alexandra;;3101281;0.1400851011276245;0;False;false_negative;0.8599148988723755;0.3599148988723755
188;1;1;male;45.0;26.55;0;0;S;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";;111428;0.14490506052970886;0;False;false_negative;0.8550949394702911;0.35509493947029114
783;0;1;male;29.0;30.0;0;0;S;Long, Mr. Milton Clyde;D6;113501;0.8345533609390259;1;False;false_positive;0.8345533609390259;0.3345533609390259
840;1;1;male;;29.7;0;0;C;Marechal, Mr. Pierre;C47;11774;0.18017545342445374;0;False;false_negative;0.8198245465755463;0.31982454657554626
554;1;3;male;22.0;7.225;0;0;C;"Leeni, Mr. Fahim (""Philip Zenni"")";;2620;0.1823018342256546;0;False;false_negative;0.8176981657743454;0.3176981657743454
713;1;1;male;48.0;52.0;1;0;S;Taylor, Mr. Elmer Zebley;C126;19996;0.18241967260837555;0;False;false_negative;0.8175803273916245;0.31758032739162445
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;STON/O 2. 3101286;0.19146734476089478;0;False;false_negative;0.8085326552391052;0.3085326552391052
416;0;3;female;;8.05;0;0;S;Meek, Mrs. Thomas (Annie Louise Rowley);;343095;0.8028720617294312;1;False;false_positive;0.8028720617294312;0.30287206172943115
249;1;1;male;37.0;52.5542;1;1;S;Beckwith, Mr. Richard Leonard;D35;11751;0.19911743700504303;0;False;false_negative;0.800882562994957;0.30088256299495697
435;0;1;male;50.0;55.9;1;0;S;Silvey, Mr. William Baird;E44;13507;0.7879552841186523;1;False;false_positive;0.7879552841186523;0.28795528411865234
681;0;3;female;;8.1375;0;0;Q;Peters, Miss. Katie;;330935;0.787173867225647;1;False;false_positive;0.787173867225647;0.287173867225647
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.21792876720428467;0;False;false_negative;0.7820712327957153;0.28207123279571533
56;1;1;male;;35.5;0;0;S;Woolner, Mr. Hugh;C52;19947;0.22214990854263306;0;False;false_negative;0.7778500914573669;0.27785009145736694
808;0;3;female;18.0;7.775;0;0;S;Pettersson, Miss. Ellen Natalia;;347087;0.7755631804466248;1;False;false_positive;0.7755631804466248;0.27556318044662476
551;1;1;male;17.0;110.8833;0;2;C;Thayer, Mr. John Borland Jr;C70;17421;0.22702820599079132;0;False;false_negative;0.7729717940092087;0.2729717940092087
853;0;3;female;9.0;15.2458;1;1;C;Boulos, Miss. Nourelain;;2678;0.7608367204666138;1;False;false_positive;0.7608367204666138;0.26083672046661377
450;1;1;male;52.0;30.5;0;0;S;Peuchen, Major. Arthur Godfrey;C104;113786;0.24580112099647522;0;False;false_negative;0.7541988790035248;0.2541988790035248
19;0;3;female;31.0;18.0;1;0;S;Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele);;345763;0.7507584095001221;1;False;false_positive;0.7507584095001221;0.25075840950012207
