PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9846274256706238;1;True;true_positive;0.9846274256706238;0.4846274256706238
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.08689144253730774;0;False;false_negative;0.9131085574626923;0.41310855746269226
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.14672531187534332;0;True;true_negative;0.8532746881246567;0.3532746881246567
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.913494884967804;1;True;true_positive;0.913494884967804;0.41349488496780396
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.8167037963867188;1;True;true_positive;0.8167037963867188;0.31670379638671875
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.037973251193761826;0;False;false_negative;0.9620267488062382;0.4620267488062382
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.6658135652542114;1;True;true_positive;0.6658135652542114;0.16581356525421143
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.12102778255939484;0;True;true_negative;0.8789722174406052;0.37897221744060516
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.11365470290184021;0;True;true_negative;0.8863452970981598;0.3863452970981598
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.608044445514679;1;True;true_positive;0.608044445514679;0.10804444551467896
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.15828374028205872;0;True;true_negative;0.8417162597179413;0.3417162597179413
