PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9799371361732483;1;False;false_positive;0.9799371361732483;0.4799371361732483
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.03865404427051544;0;False;false_negative;0.9613459557294846;0.46134595572948456
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;PC 17595;0.9595142602920532;1;False;false_positive;0.9595142602920532;0.4595142602920532
391;1;1;male;36.0;120.0;1;2;S;Carter, Mr. William Ernest;B96 B98;113760;0.061353158205747604;0;False;false_negative;0.9386468417942524;0.4386468417942524
252;0;3;female;29.0;10.4625;1;1;S;Strom, Mrs. Wilhelm (Elna Matilda Persson);G6;347054;0.9383220076560974;1;False;false_positive;0.9383220076560974;0.4383220076560974
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.9322267770767212;1;False;false_positive;0.9322267770767212;0.4322267770767212
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.0706716924905777;0;False;false_negative;0.9293283075094223;0.4293283075094223
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.922255277633667;1;False;false_positive;0.922255277633667;0.422255277633667
456;1;3;male;29.0;7.8958;0;0;C;Jalsevac, Mr. Ivan;;349240;0.0795750692486763;0;False;false_negative;0.9204249307513237;0.4204249307513237
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;347083;0.07983646541833878;0;False;false_negative;0.9201635345816612;0.4201635345816612
554;1;3;male;22.0;7.225;0;0;C;"Leeni, Mr. Fahim (""Philip Zenni"")";;2620;0.0813790038228035;0;False;false_negative;0.9186209961771965;0.4186209961771965
69;1;3;female;17.0;7.925;4;2;S;Andersson, Miss. Erna Alexandra;;3101281;0.09089162945747375;0;False;false_negative;0.9091083705425262;0.40910837054252625
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.094410739839077;0;False;false_negative;0.905589260160923;0.405589260160923
