PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9711145758628845;1;False;false_positive;0.9711145758628845;0.4711145758628845
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;PC 17595;0.9702523946762085;1;False;false_positive;0.9702523946762085;0.4702523946762085
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;347083;0.07838238030672073;0;False;false_negative;0.9216176196932793;0.42161761969327927
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.07961911708116531;0;False;false_negative;0.9203808829188347;0.4203808829188347
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.08174319565296173;0;False;false_negative;0.9182568043470383;0.41825680434703827
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.08664105087518692;0;False;false_negative;0.9133589491248131;0.4133589491248131
26;1;3;female;38.0;31.3875;1;5;S;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);;347077;0.09200280159711838;0;False;false_negative;0.9079971984028816;0.4079971984028816
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.0929449200630188;0;False;false_negative;0.9070550799369812;0.4070550799369812
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;11668;0.9066007137298584;1;False;false_positive;0.9066007137298584;0.4066007137298584
570;1;3;male;32.0;7.8542;0;0;S;Jonsson, Mr. Carl;;350417;0.09559956938028336;0;False;false_negative;0.9044004306197166;0.40440043061971664
745;1;3;male;31.0;7.925;0;0;S;Stranden, Mr. Juho;;STON/O 2. 3101288;0.09589073807001114;0;False;false_negative;0.9041092619299889;0.40410926192998886
456;1;3;male;29.0;7.8958;0;0;C;Jalsevac, Mr. Ivan;;349240;0.09633282572031021;0;False;false_negative;0.9036671742796898;0.4036671742796898
415;1;3;male;44.0;7.925;0;0;S;Sundman, Mr. Johan Julian;;STON/O 2. 3101269;0.09654083102941513;0;False;false_negative;0.9034591689705849;0.40345916897058487
128;1;3;male;24.0;7.1417;0;0;S;Madsen, Mr. Fridtjof Arne;;C 17369;0.09766776114702225;0;False;false_negative;0.9023322388529778;0.40233223885297775
392;1;3;male;21.0;7.7958;0;0;S;Jansson, Mr. Carl Olof;;350034;0.09977104514837265;0;False;false_negative;0.9002289548516273;0.40022895485162735
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;STON/O 2. 3101286;0.10009767860174179;0;False;false_negative;0.8999023213982582;0.3999023213982582
