PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
850;1;1;female;;89.1042;1;0;C;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);C92;17453;0.9593890309333801;1;True;true_positive;0.9593890309333801;0.4593890309333801
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.0860772505402565;0;False;false_negative;0.9139227494597435;0.4139227494597435
753;0;3;male;33.0;9.5;0;0;S;Vande Velde, Mr. Johannes Joseph;;345780;0.10570503771305084;0;True;true_negative;0.8942949622869492;0.39429496228694916
538;1;1;female;30.0;106.425;0;0;C;LeRoy, Miss. Bertha;;PC 17761;0.8792963624000549;1;True;true_positive;0.8792963624000549;0.37929636240005493
433;1;2;female;42.0;26.0;1;0;S;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);;SC/AH 3085;0.8994203805923462;1;True;true_positive;0.8994203805923462;0.3994203805923462
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.1112542673945427;0;False;false_negative;0.8887457326054573;0.3887457326054573
831;1;3;female;15.0;14.4542;1;0;C;Yasbeck, Mrs. Antoni (Selini Alexander);;2659;0.9103352427482605;1;True;true_positive;0.9103352427482605;0.4103352427482605
776;0;3;male;18.0;7.75;0;0;S;Myhrman, Mr. Pehr Fabian Oliver Malkolm;;347078;0.12386132031679153;0;True;true_negative;0.8761386796832085;0.37613867968320847
522;0;3;male;22.0;7.8958;0;0;S;Vovk, Mr. Janko;;349252;0.11577663570642471;0;True;true_negative;0.8842233642935753;0.3842233642935753
40;1;3;female;14.0;11.2417;1;0;C;Nicola-Yarred, Miss. Jamila;;2651;0.6665437817573547;1;True;true_positive;0.6665437817573547;0.16654378175735474
177;0;3;male;;25.4667;3;1;S;Lefebre, Master. Henry Forbes;;4133;0.23038350045681;0;True;true_negative;0.76961649954319;0.26961649954319
793;0;3;female;;69.55;8;2;S;Sage, Miss. Stella Anna;;CA. 2343;0.05248396098613739;0;True;true_negative;0.9475160390138626;0.4475160390138626
329;1;3;female;31.0;20.525;1;1;S;Goldsmith, Mrs. Frank John (Emily Alice Brown);;363291;0.4555925130844116;0;False;false_negative;0.5444074869155884;0.04440748691558838
616;1;2;female;24.0;65.0;1;2;S;Herman, Miss. Alice;;220845;0.8448415398597717;1;True;true_positive;0.8448415398597717;0.34484153985977173
370;1;1;female;24.0;69.3;0;0;C;Aubart, Mme. Leontine Pauline;B35;PC 17477;0.9795800447463989;1;True;true_positive;0.9795800447463989;0.4795800447463989
477;0;2;male;34.0;21.0;1;0;S;Renouf, Mr. Peter Henry;;31027;0.12457048147916794;0;True;true_negative;0.8754295185208321;0.37542951852083206
280;1;3;female;35.0;20.25;1;1;S;Abbott, Mrs. Stanton (Rosa Hunt);;C.A. 2673;0.4212139844894409;0;False;false_negative;0.5787860155105591;0.07878601551055908
5;0;3;male;35.0;8.05;0;0;S;Allen, Mr. William Henry;;373450;0.12453201413154602;0;True;true_negative;0.875467985868454;0.375467985868454
798;1;3;female;31.0;8.6833;0;0;S;Osman, Mrs. Mara;;349244;0.5356234908103943;1;True;true_positive;0.5356234908103943;0.03562349081039429
10;1;2;female;14.0;30.0708;1;0;C;Nasser, Mrs. Nicholas (Adele Achem);;237736;0.9816710948944092;1;True;true_positive;0.9816710948944092;0.4816710948944092
326;1;1;female;36.0;135.6333;0;0;C;Young, Miss. Marie Grice;C32;PC 17760;0.978139340877533;1;True;true_positive;0.978139340877533;0.47813934087753296
514;1;1;female;54.0;59.4;1;0;C;Rothschild, Mrs. Martin (Elizabeth L. Barrett);;PC 17603;0.8529590368270874;1;True;true_positive;0.8529590368270874;0.3529590368270874
801;0;2;male;34.0;13.0;0;0;S;Ponesell, Mr. Martin;;250647;0.12052572518587112;0;True;true_negative;0.8794742748141289;0.3794742748141289
474;1;2;female;23.0;13.7917;0;0;C;Jerwan, Mrs. Amin S (Marie Marthe Thuillard);D;SC/AH Basle 541;0.9643928408622742;1;True;true_positive;0.9643928408622742;0.46439284086227417
423;0;3;male;29.0;7.875;0;0;S;Zimmerman, Mr. Leo;;315082;0.1253899335861206;0;True;true_negative;0.8746100664138794;0.3746100664138794
87;0;3;male;16.0;34.375;1;3;S;Ford, Mr. William Neal;;W./C. 6608;0.06666728854179382;0;True;true_negative;0.9333327114582062;0.4333327114582062
629;0;3;male;26.0;7.8958;0;0;S;Bostandyeff, Mr. Guentcho;;349224;0.11360117793083191;0;True;true_negative;0.8863988220691681;0.3863988220691681
43;0;3;male;;7.8958;0;0;C;Kraeff, Mr. Theodor;;349253;0.13476873934268951;0;True;true_negative;0.8652312606573105;0.3652312606573105
743;1;1;female;21.0;262.375;2;2;C;"Ryerson, Miss. Susan Parker ""Suzette""";B57 B59 B63 B66;PC 17608;0.9926774501800537;1;True;true_positive;0.9926774501800537;0.4926774501800537
837;0;3;male;21.0;8.6625;0;0;S;Pasic, Mr. Jakob;;315097;0.12025249004364014;0;True;true_negative;0.8797475099563599;0.37974750995635986
611;0;3;female;39.0;31.275;1;5;S;Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren);;347082;0.15164679288864136;0;True;true_negative;0.8483532071113586;0.34835320711135864
174;0;3;male;21.0;7.925;0;0;S;Sivola, Mr. Antti Wilhelm;;STON/O 2. 3101280;0.11608204990625381;0;True;true_negative;0.8839179500937462;0.3839179500937462
125;0;1;male;54.0;77.2875;0;1;S;White, Mr. Percival Wayland;D26;35281;0.20831535756587982;0;True;true_negative;0.7916846424341202;0.2916846424341202
747;0;3;male;16.0;20.25;1;1;S;Abbott, Mr. Rossmore Edward;;C.A. 2673;0.06844969093799591;0;True;true_negative;0.9315503090620041;0.4315503090620041
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.9126044511795044;1;False;false_positive;0.9126044511795044;0.4126044511795044
410;0;3;female;;25.4667;3;1;S;Lefebre, Miss. Ida;;4133;0.17780379951000214;0;True;true_negative;0.8221962004899979;0.32219620048999786
244;0;3;male;22.0;7.125;0;0;S;Maenpaa, Mr. Matti Alexanteri;;STON/O 2. 3101275;0.12052004784345627;0;True;true_negative;0.8794799521565437;0.37947995215654373
560;1;3;female;36.0;17.4;1;0;S;de Messemaeker, Mrs. Guillaume Joseph (Emma);;345572;0.48657462000846863;0;False;false_negative;0.5134253799915314;0.013425379991531372
293;0;2;male;36.0;12.875;0;0;C;Levy, Mr. Rene Jacques;D;SC/Paris 2163;0.5314766764640808;1;False;false_positive;0.5314766764640808;0.03147667646408081
446;1;1;male;4.0;81.8583;0;2;S;Dodge, Master. Washington;A34;33638;0.9461355209350586;1;True;true_positive;0.9461355209350586;0.4461355209350586
413;1;1;female;33.0;90.0;1;0;Q;Minahan, Miss. Daisy E;C78;19928;0.9685060977935791;1;True;true_positive;0.9685060977935791;0.4685060977935791
