PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9799371361732483;1;False;false_positive;0.9799371361732483;0.4799371361732483
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;PC 17595;0.9535996317863464;1;False;false_positive;0.9535996317863464;0.45359963178634644
252;0;3;female;29.0;10.4625;1;1;S;Strom, Mrs. Wilhelm (Elna Matilda Persson);G6;347054;0.9383220076560974;1;False;false_positive;0.9383220076560974;0.4383220076560974
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.06687168031930923;0;False;false_negative;0.9331283196806908;0.43312831968069077
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.9322267770767212;1;False;false_positive;0.9322267770767212;0.4322267770767212
391;1;1;male;36.0;120.0;1;2;S;Carter, Mr. William Ernest;B96 B98;113760;0.06925152242183685;0;False;false_negative;0.9307484775781631;0.43074847757816315
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.0706716924905777;0;False;false_negative;0.9293283075094223;0.4293283075094223
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.922255277633667;1;False;false_positive;0.922255277633667;0.422255277633667
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;347083;0.08832845091819763;0;False;false_negative;0.9116715490818024;0.41167154908180237
456;1;3;male;29.0;7.8958;0;0;C;Jalsevac, Mr. Ivan;;349240;0.09023290872573853;0;False;false_negative;0.9097670912742615;0.4097670912742615
69;1;3;female;17.0;7.925;4;2;S;Andersson, Miss. Erna Alexandra;;3101281;0.09089162945747375;0;False;false_negative;0.9091083705425262;0.40910837054252625
554;1;3;male;22.0;7.225;0;0;C;"Leeni, Mr. Fahim (""Philip Zenni"")";;2620;0.09408533573150635;0;False;false_negative;0.9059146642684937;0.40591466426849365
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.094410739839077;0;False;false_negative;0.905589260160923;0.405589260160923
570;1;3;male;32.0;7.8542;0;0;S;Jonsson, Mr. Carl;;350417;0.09941744059324265;0;False;false_negative;0.9005825594067574;0.40058255940675735
745;1;3;male;31.0;7.925;0;0;S;Stranden, Mr. Juho;;STON/O 2. 3101288;0.09995901584625244;0;False;false_negative;0.9000409841537476;0.40004098415374756
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.10047025233507156;0;False;false_negative;0.8995297476649284;0.39952974766492844
415;1;3;male;44.0;7.925;0;0;S;Sundman, Mr. Johan Julian;;STON/O 2. 3101269;0.10058923810720444;0;False;false_negative;0.8994107618927956;0.39941076189279556
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;2677;0.10210519284009933;0;False;false_negative;0.8978948071599007;0.39789480715990067
128;1;3;male;24.0;7.1417;0;0;S;Madsen, Mr. Fridtjof Arne;;C 17369;0.10361351072788239;0;False;false_negative;0.8963864892721176;0.3963864892721176
392;1;3;male;21.0;7.7958;0;0;S;Jansson, Mr. Carl Olof;;350034;0.1054631769657135;0;False;false_negative;0.8945368230342865;0.3945368230342865
401;1;3;male;39.0;7.925;0;0;S;Niskanen, Mr. Juha;;STON/O 2. 3101289;0.10591008514165878;0;False;false_negative;0.8940899148583412;0.3940899148583412
205;1;3;male;18.0;8.05;0;0;S;"Cohen, Mr. Gurshon ""Gus""";;A/5 3540;0.10810989141464233;0;False;false_negative;0.8918901085853577;0.39189010858535767
200;0;2;female;24.0;13.0;0;0;S;"Yrois, Miss. Henriette (""Mrs Harbeck"")";;248747;0.8906427025794983;1;False;false_positive;0.8906427025794983;0.3906427025794983
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.11023322492837906;0;False;false_negative;0.8897667750716209;0.38976677507162094
26;1;3;female;38.0;31.3875;1;5;S;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);;347077;0.1104477271437645;0;False;false_negative;0.8895522728562355;0.3895522728562355
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;STON/O 2. 3101286;0.11126487702131271;0;False;false_negative;0.8887351229786873;0.3887351229786873
339;1;3;male;45.0;8.05;0;0;S;Dahl, Mr. Karl Edwart;;7598;0.11133793741464615;0;False;false_negative;0.8886620625853539;0.38866206258535385
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;345774;0.11365677416324615;0;False;false_negative;0.8863432258367538;0.38634322583675385
234;1;3;female;5.0;31.3875;4;2;S;Asplund, Miss. Lillian Gertrud;;347077;0.11368981748819351;0;False;false_negative;0.8863101825118065;0.3863101825118065
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;312991;0.1139911636710167;0;False;false_negative;0.8860088363289833;0.3860088363289833
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;65306;0.11410593241453171;0;False;false_negative;0.8858940675854683;0.3858940675854683
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.11457881331443787;0;False;false_negative;0.8854211866855621;0.38542118668556213
147;1;3;male;27.0;7.7958;0;0;S;"Andersson, Mr. August Edvard (""Wennerstrom"")";;350043;0.11476403474807739;0;False;false_negative;0.8852359652519226;0.3852359652519226
822;1;3;male;27.0;8.6625;0;0;S;Lulic, Mr. Nikola;;315098;0.11512590944766998;0;False;false_negative;0.88487409055233;0.38487409055233
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;347089;0.11557105928659439;0;False;false_negative;0.8844289407134056;0.3844289407134056
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;11668;0.8842100501060486;1;False;false_positive;0.8842100501060486;0.3842100501060486
272;1;3;male;25.0;0.0;0;0;S;Tornquist, Mr. William Henry;;LINE;0.11881081014871597;0;False;false_negative;0.881189189851284;0.381189189851284
674;1;2;male;31.0;13.0;0;0;S;Wilhelms, Mr. Charles;;244270;0.11952486634254456;0;False;false_negative;0.8804751336574554;0.38047513365745544
75;1;3;male;32.0;56.4958;0;0;S;Bing, Mr. Lee;;1601;0.12085754424333572;0;False;false_negative;0.8791424557566643;0.3791424557566643
644;1;3;male;;56.4958;0;0;S;Foo, Mr. Choong;;1601;0.12132712453603745;0;False;false_negative;0.8786728754639626;0.37867287546396255
188;1;1;male;45.0;26.55;0;0;S;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";;111428;0.1279878467321396;0;False;false_negative;0.8720121532678604;0.3720121532678604
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;SOTON/OQ 392089;0.13009048998355865;0;False;false_negative;0.8699095100164413;0.36990951001644135
18;1;2;male;;13.0;0;0;S;Williams, Mr. Charles Eugene;;244373;0.13201187551021576;0;False;false_negative;0.8679881244897842;0.36798812448978424
631;1;1;male;80.0;30.0;0;0;S;Barkworth, Mr. Algernon Henry Wilson;A23;27042;0.13832135498523712;0;False;false_negative;0.8616786450147629;0.3616786450147629
855;0;2;female;44.0;26.0;1;0;S;Carter, Mrs. Ernest Courtenay (Lilian Hughes);;244252;0.8585036396980286;1;False;false_positive;0.8585036396980286;0.35850363969802856
839;1;3;male;32.0;56.4958;0;0;S;Chip, Mr. Chang;;1601;0.14296768605709076;0;False;false_negative;0.8570323139429092;0.35703231394290924
693;1;3;male;;56.4958;0;0;S;Lam, Mr. Ali;;1601;0.14442789554595947;0;False;false_negative;0.8555721044540405;0.3555721044540405
448;1;1;male;34.0;26.55;0;0;S;Seward, Mr. Frederic Kimber;;113794;0.14938104152679443;0;False;false_negative;0.8506189584732056;0.35061895847320557
358;0;2;female;38.0;13.0;0;0;S;Funk, Miss. Annie Clemmer;;237671;0.8349382877349854;1;False;false_positive;0.8349382877349854;0.33493828773498535
