PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9709526896476746;1;False;false_positive;0.9709526896476746;0.47095268964767456
178;0;1;female;50.0;28.7125;0;0;C;Isham, Miss. Ann Elizabeth;C49;PC 17595;0.9660483002662659;1;False;false_positive;0.9660483002662659;0.46604830026626587
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.9450095891952515;1;False;false_positive;0.9450095891952515;0.44500958919525146
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.0860772505402565;0;False;false_negative;0.9139227494597435;0.4139227494597435
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.9126044511795044;1;False;false_positive;0.9126044511795044;0.4126044511795044
252;0;3;female;29.0;10.4625;1;1;S;Strom, Mrs. Wilhelm (Elna Matilda Persson);G6;347054;0.9108229279518127;1;False;false_positive;0.9108229279518127;0.41082292795181274
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.09029050916433334;0;False;false_negative;0.9097094908356667;0.40970949083566666
415;1;3;male;44.0;7.925;0;0;S;Sundman, Mr. Johan Julian;;STON/O 2. 3101269;0.09338061511516571;0;False;false_negative;0.9066193848848343;0.4066193848848343
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.09387265145778656;0;False;false_negative;0.9061273485422134;0.40612734854221344
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;11668;0.9058828949928284;1;False;false_positive;0.9058828949928284;0.40588289499282837
570;1;3;male;32.0;7.8542;0;0;S;Jonsson, Mr. Carl;;350417;0.09455125778913498;0;False;false_negative;0.905448742210865;0.405448742210865
745;1;3;male;31.0;7.925;0;0;S;Stranden, Mr. Juho;;STON/O 2. 3101288;0.09516264498233795;0;False;false_negative;0.904837355017662;0.40483735501766205
268;1;3;male;25.0;7.775;1;0;S;Persson, Mr. Ernst Ulrik;;347083;0.09834487736225128;0;False;false_negative;0.9016551226377487;0.4016551226377487
401;1;3;male;39.0;7.925;0;0;S;Niskanen, Mr. Juha;;STON/O 2. 3101289;0.09851614385843277;0;False;false_negative;0.9014838561415672;0.40148385614156723
128;1;3;male;24.0;7.1417;0;0;S;Madsen, Mr. Fridtjof Arne;;C 17369;0.09894362837076187;0;False;false_negative;0.9010563716292381;0.40105637162923813
392;1;3;male;21.0;7.7958;0;0;S;Jansson, Mr. Carl Olof;;350034;0.10097288340330124;0;False;false_negative;0.8990271165966988;0.39902711659669876
580;1;3;male;32.0;7.925;0;0;S;Jussila, Mr. Eiriik;;STON/O 2. 3101286;0.10229973495006561;0;False;false_negative;0.8977002650499344;0.3977002650499344
205;1;3;male;18.0;8.05;0;0;S;"Cohen, Mr. Gurshon ""Gus""";;A/5 3540;0.10380568355321884;0;False;false_negative;0.8961943164467812;0.39619431644678116
339;1;3;male;45.0;8.05;0;0;S;Dahl, Mr. Karl Edwart;;7598;0.10433446615934372;0;False;false_negative;0.8956655338406563;0.3956655338406563
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;345774;0.10446229577064514;0;False;false_negative;0.8955377042293549;0.39553770422935486
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;312991;0.1051192432641983;0;False;false_negative;0.8948807567358017;0.3948807567358017
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;65306;0.10516742616891861;0;False;false_negative;0.8948325738310814;0.3948325738310814
391;1;1;male;36.0;120.0;1;2;S;Carter, Mr. William Ernest;B96 B98;113760;0.10524703562259674;0;False;false_negative;0.8947529643774033;0.39475296437740326
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.1053658202290535;0;False;false_negative;0.8946341797709465;0.3946341797709465
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;347089;0.10675898939371109;0;False;false_negative;0.8932410106062889;0.3932410106062889
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;2677;0.10791200399398804;0;False;false_negative;0.892087996006012;0.39208799600601196
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.1086401492357254;0;False;false_negative;0.8913598507642746;0.3913598507642746
