PassengerId;Survived;Pclass;Sex;Age;Fare;SibSp;Parch;Embarked;Name;Cabin;Ticket;oof_probability;oof_prediction;is_correct;prediction_type;confidence;distance_to_threshold
298;0;1;female;2.0;151.55;1;2;S;Allison, Miss. Helen Loraine;C22 C26;113781;0.9951893091201782;1;False;false_positive;0.9951893091201782;0.4951893091201782
571;1;2;male;62.0;10.5;0;0;S;Harris, Mr. George;;S.W./PP 752;0.010733911767601967;0;False;false_negative;0.989266088232398;0.48926608823239803
773;0;2;female;57.0;10.5;0;0;S;Mack, Mrs. (Mary);E77;S.O./P.P. 3;0.9848003387451172;1;False;false_positive;0.9848003387451172;0.4848003387451172
42;0;2;female;27.0;21.0;1;0;S;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);;11668;0.9830797910690308;1;False;false_positive;0.9830797910690308;0.48307979106903076
623;1;3;male;20.0;15.7417;1;1;C;Nakid, Mr. Sahid;;2653;0.02798050083220005;0;False;false_negative;0.9720194991678;0.47201949916779995
272;1;3;male;25.0;0.0;0;0;S;Tornquist, Mr. William Henry;;LINE;0.04385781288146973;0;False;false_negative;0.9561421871185303;0.4561421871185303
855;0;2;female;44.0;26.0;1;0;S;Carter, Mrs. Ernest Courtenay (Lilian Hughes);;244252;0.9532150626182556;1;False;false_positive;0.9532150626182556;0.4532150626182556
221;1;3;male;16.0;8.05;0;0;S;Sunderland, Mr. Victor Francis;;SOTON/OQ 392089;0.048647377640008926;0;False;false_negative;0.9513526223599911;0.4513526223599911
37;1;3;male;;7.2292;0;0;C;Mamee, Mr. Hanna;;2677;0.050128743052482605;0;False;false_negative;0.9498712569475174;0.4498712569475174
339;1;3;male;45.0;8.05;0;0;S;Dahl, Mr. Karl Edwart;;7598;0.05061216652393341;0;False;false_negative;0.9493878334760666;0.4493878334760666
205;1;3;male;18.0;8.05;0;0;S;"Cohen, Mr. Gurshon ""Gus""";;A/5 3540;0.05175071209669113;0;False;false_negative;0.9482492879033089;0.44824928790330887
544;1;2;male;32.0;26.0;1;0;S;Beane, Mr. Edward;;2908;0.06398355215787888;0;False;false_negative;0.9360164478421211;0.4360164478421211
18;1;2;male;;13.0;0;0;S;Williams, Mr. Charles Eugene;;244373;0.06817889958620071;0;False;false_negative;0.9318211004137993;0.4318211004137993
289;1;2;male;42.0;13.0;0;0;S;Hosono, Mr. Masabumi;;237798;0.0751589983701706;0;False;false_negative;0.9248410016298294;0.4248410016298294
658;0;3;female;32.0;15.5;1;1;Q;Bourke, Mrs. John (Catherine);;364849;0.9211075901985168;1;False;false_positive;0.9211075901985168;0.42110759019851685
358;0;2;female;38.0;13.0;0;0;S;Funk, Miss. Annie Clemmer;;237671;0.9164523482322693;1;False;false_positive;0.9164523482322693;0.4164523482322693
69;1;3;female;17.0;7.925;4;2;S;Andersson, Miss. Erna Alexandra;;3101281;0.09081321954727173;0;False;false_negative;0.9091867804527283;0.40918678045272827
188;1;1;male;45.0;26.55;0;0;S;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";;111428;0.09465319663286209;0;False;false_negative;0.9053468033671379;0.4053468033671379
397;0;3;female;31.0;7.8542;0;0;S;Olsson, Miss. Elina;;350407;0.9007052779197693;1;False;false_positive;0.9007052779197693;0.4007052779197693
262;1;3;male;3.0;31.3875;4;2;S;Asplund, Master. Edvin Rojj Felix;;347077;0.09964416921138763;0;False;false_negative;0.9003558307886124;0.40035583078861237
805;1;3;male;27.0;6.975;0;0;S;Hedman, Mr. Oskar Arvid;;347089;0.09973397850990295;0;False;false_negative;0.900266021490097;0.40026602149009705
15;0;3;female;14.0;7.8542;0;0;S;Vestrom, Miss. Hulda Amanda Adolfina;;350406;0.8999342918395996;1;False;false_positive;0.8999342918395996;0.3999342918395996
445;1;3;male;;8.1125;0;0;S;Johannesen-Bratthammer, Mr. Bernt;;65306;0.10033614188432693;0;False;false_negative;0.8996638581156731;0.39966385811567307
82;1;3;male;29.0;9.5;0;0;S;Sheerlinck, Mr. Jan Baptist;;345779;0.10033614188432693;0;False;false_negative;0.8996638581156731;0.39966385811567307
287;1;3;male;30.0;9.5;0;0;S;de Mulder, Mr. Theodore;;345774;0.10033614188432693;0;False;false_negative;0.8996638581156731;0.39966385811567307
108;1;3;male;;7.775;0;0;S;Moss, Mr. Albert Johan;;312991;0.10148978233337402;0;False;false_negative;0.898510217666626;0.398510217666626
128;1;3;male;24.0;7.1417;0;0;S;Madsen, Mr. Fridtjof Arne;;C 17369;0.10635986179113388;0;False;false_negative;0.8936401382088661;0.3936401382088661
503;0;3;female;;7.6292;0;0;Q;O'Sullivan, Miss. Bridget Mary;;330909;0.8903672099113464;1;False;false_positive;0.8903672099113464;0.39036720991134644
200;0;2;female;24.0;13.0;0;0;S;"Yrois, Miss. Henriette (""Mrs Harbeck"")";;248747;0.8890022039413452;1;False;false_positive;0.8890022039413452;0.3890022039413452
313;0;2;female;26.0;26.0;1;1;S;Lahtinen, Mrs. William (Anna Sylfven);;250651;0.8826597929000854;1;False;false_positive;0.8826597929000854;0.38265979290008545
56;1;1;male;;35.5;0;0;S;Woolner, Mr. Hugh;C52;19947;0.11993300914764404;0;False;false_negative;0.880066990852356;0.38006699085235596
